node_id,labels,name,node_type,article_id,segment_id,title,text
article_64566c9882f98e9d,Article,序一,Article,陈独秀_000_4825c389,,序一,
author_318ec22d130acca4,Author,陈独秀,Author,,,,
article_72756e4919cb769f,Article,答适之,Article,陈独秀_001_d263aca8,,答适之,
article_4f4383df556febc5,Article,答张君劢及梁任公,Article,陈独秀_002_69a217f6,,答张君劢及梁任公,
segment_14da3a3c01d76d5e,Segment,陈独秀_000_4825c389_s0000,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0000,,"#### 陈独秀

亚东图书馆汇印讨论科学与人生观的文章，命我作序，我方在病中而且多事，却很欢喜的做这篇序。第一，因为文化落后的中国，到现在才讨论这个问题,(文化落后的俄国前此关于这问题也有过剧烈的讨论，现在他们的社会科学进了步，稍懂得一点社会科学门径的人，都不会有这种无常识的讨论了，和我们中国的知识阶级现在也不至于讨论什么天圆地方、天动地静、电线是不是蜘蛛精这等问题一样。）而却已开始讨论这个问题，进步虽说太缓，总算是有了进步；只可惜一班攻击张君劢、梁启超的人们，表面上好像是得了胜利，其实并未攻破敌人的大本营，不过打散了几个支队，有的还是表面上在那里开战，暗中却已投降了。（如范寿康先天的形式说，及任叔永人生观的科学是不可能说。）就是主将丁文江大攻击张君劢唯心的见解，其实他自己也是以五十步笑百步，这是因为有一种可以攻破敌人大本营的武器，他们素来不相信，因此不肯用。“科学何以不能支配人生观”，敌人方面却举出一些似是而非的证据出来。“科学何以能支配人生观”，这方面却一个证据也没举出来，我以为不但不曾得着胜利，而且几乎是卸甲丢盔的大败战，大家的文章写得虽多，大半是“下笔千言，离题万里”。令人看了好像是《科学概论讲义》，不容易看出他们和张君劢的争点究竟是什么。张君劢那边离开争点之枝叶更加倍之多，这乃一场辩论的最大遗憾！第二，因为适之最近对我说，“唯物史观至多只能解释大部分的问题”。"
segment_2332e3f11a6d2721,Segment,陈独秀_000_4825c389_s0001,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0001,,"易看出他们和张君劢的争点究竟是什么。张君劢那边离开争点之枝叶更加倍之多，这乃一场辩论的最大遗憾！第二，因为适之最近对我说，“唯物史观至多只能解释大部分的问题”。经过这回辩论之后，适之必能百尺竿头更进

一步！因为这两个缘故，我很欢喜的做这篇序。

数学、物理学、化学等科学，和人生观有什么关系，这问题本不用着讨论。可是后来科学的观察分类说明等方法应用到活动的生物，更应用到最活动的人类社会，于是便有人把科学略分为自然科学与社会科学二类。社会科学中最主要的是经济学、社会学、历史学、心理学、哲学。（这里所指是实验主义的及唯物史观的人生哲学，不是指本体论宇宙论的玄学，即所谓形而上的哲学。）这些社会科学，不用说和那些自然科学都还在幼稚时代，然即是幼稚，已经有许多不可否认的成绩，若因为还幼稚便不要他，我们不必这样蠢。自然科学已经说明了自然界许多现象，这是我们不能否认的；社会科学已经说明了人类社会许多现象，这也是我们不能否认的。自然界及社会都有他的实际现象，科学家说明得对，他原来是那样；科学家说明得不对，他仍旧是那样；玄学家无论如何胡想乱说，他仍旧是那样；他的实际现象是死板板的，不是随着你们唯物论唯心论改变的。哥白尼以前，地球原来在那里绕日而行。孟轲以后，渐渐变成了无君的世界。科学的说明能和这死板板的实际一一符合，才是最后的成功；"
segment_0d4abfa53a20038f,Segment,陈独秀_000_4825c389_s0002,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0002,,"板的，不是随着你们唯物论唯心论改变的。哥白尼以前，地球原来在那里绕日而行。孟轲以后，渐渐变成了无君的世界。科学的说明能和这死板板的实际一一符合，才是最后的成功；我们所以相信科学（无论自然科学或社会科学),也就是因为“科学家之最大目的，曰摈除人意之作用，而一切现象化之为客观的，因而可以推算，可以穷其因果之相生”（张君劢语）。必如此而后可以根据实际寻求实际，而后可以说明自然界及人类社会死板板的实际，和玄学家的胡想乱说不同。

人生观和（社会）科学的关系是很显明的，为什么大家还要讨论？哈哈！就是讨论这个问题之本身，也可以证明人生观和科学的关系之深了。孔德分人类社会为三时代，我们还在宗教迷信时代；你看全国最大多数的人，还是迷信巫鬼符咒算命卜

卦等超物质以上的神秘；次多数像张君劢这样相信玄学的人，旧的士的阶级全体，新的士的阶级一大部分皆是。像丁在君这样相信科学的人，其数目几乎不能列入统计。现在由迷信时代进步到科学时代，自然要经过玄学先生的狂吠，这种社会的实际现象，想无人能够否认。倘不能否认，便不能不承认孔德三时代说是社会科学上一种定律。这个定律便可以说明许多时代、许多社会、许多个人的人生观之所以不同。"
segment_7be20389a1b92ee2,Segment,陈独秀_000_4825c389_s0003,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0003,,"这种社会的实际现象，想无人能够否认。倘不能否认，便不能不承认孔德三时代说是社会科学上一种定律。这个定律便可以说明许多时代、许多社会、许多个人的人生观之所以不同。譬如张君劢是个饱学秀才，他一日病了，他的未尝学问的家族要去求符咒仙方，张君劢立意要延医诊脉服药，他的朋友丁在君方从外国留学回来，说汉医靠不住，坚劝他去请西医，张君劢不但不相信，并说出许多西医不及汉医的证据；两人争持正烈的时候，张君劢的家族说，西医汉医都靠不住，还是符咒仙方好。他们如此不同的见解，也便是他们如此不同的人生观。他们如此不同的人生观，都是他们所遭客观的环境造成的，决不是天外飞来主观的意志造成的。这本是社会科学可以说明的，决不是形而上的玄学可以说明的。

张君劢举出九项人生观，说都是主观的，起于直觉的、综合的、自由意志的，起于人格之单一性的，而不为客观的、论理的、分析的、因果律的科学所支配。今就其九项人生观看起来，第一，大家族主义和小家族主义，纯粹是由农业经济宗法社会进化到工业经济军国社会之自然的现象。第二，男女尊卑及婚姻制度，也是由于农业宗法社会亲与夫都把子女及妻当作生产工具，当作一种财产，到了工业社会，家庭手工已不适用，有了雇工制度，也用不着拿家族当生产工具，于是女权运动自然会兴旺起来。"
segment_b997318bdeb1beb7,Segment,陈独秀_000_4825c389_s0004,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004,,"于农业宗法社会亲与夫都把子女及妻当作生产工具，当作一种财产，到了工业社会，家庭手工已不适用，有了雇工制度，也用不着拿家族当生产工具，于是女权运动自然会兴旺起来。第三，财产公有私有制度，在原始共产社会，人弱于兽，势必结群合作，原无财产私有之必要与可能;(假定有人格之单一性的张先生，生在那个社会，他的主观，他的直觉，他的自由意志，忽然要把财产私有起来，怎奈他所得的果物兽肉无

地存储，并没有防腐的方法，又不能变卖金钱存在银行，结果恐怕只有放弃他私有财产的人生观。）到了农业社会，有了一定的住所，有了仓库，谷物又比较的易于保存，独立生产的小农，只有土地占有的必要，没有通力合作的必要，私有财产观念是如此发生的；到了工业社会，家庭的手工的独立生产制已不能存立，成千成万的人组织在一个通力合作的机关之内，大家无工做便无饭吃，无工具便不能做工，大家都没有生产工具，生产工具已为少数资本家私有了，非将生产工具收归公有，大家只好卖力给资本家，公有财产观念，是如此发生的。第四，守旧维新之争持，乃因为现社会有了经济的变化，而与此变化不适应的前社会之制度仍旧存在，束缚着这变化的发展，于是在经济上利害不同的阶级，自然会随着变化之激徐，或激或徐的冲突起来。"
segment_1e1cd06b68207259,Segment,陈独秀_000_4825c389_s0005,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0005,,"，乃因为现社会有了经济的变化，而与此变化不适应的前社会之制度仍旧存在，束缚着这变化的发展，于是在经济上利害不同的阶级，自然会随着变化之激徐，或激或徐的冲突起来。第五，物质精神之异见，少数人因为有他的特殊环境，一般论起来，慢说工厂里体力工人了，就是商务印书馆月薪二三十元的编辑先生，日愁衣食不济，那有如许闲情像张君劢、梁启超高谈什么精神文明、东方文化。第六，社会主义之发生，和公有财产制是一事。第七，人性中本有为我利他两种本能，个人本能发挥的机会，乃由于所遭环境及所受历史的社会的暗示之不同而异。第八，悲观乐观见解之不同，亦由于个人所遭环境及所受历史的社会的暗示而异。试观各国自杀的统计，不但自杀的原因都是环境使然，而且和年龄、性别、职业、节季等都有关系。第九，宗教思想之变迁，更是要受时代及社会势力支配的：各民族原始的宗教，依据所传神话，大都是崇拜太阳、火、高山、巨石、毒蛇、猛兽等的自然教；后来到了农业经济宗法社会，族神、祖先、农神等多神教遂至流行；后来商业发达，随着国家的统一运动，一神教遂至得势；后来工业发达，科学勃兴，无神非宗教之说随之而起；即在同一时代，各民族各社会产业进化之迟速不同，宗教思想亦随之而异。非洲、美洲、南洋蛮族，仍在

自然宗教时代；中国、印度，乃信多神；商工业发达之欧美，多奉基督。使中国圣人之徒生于伦敦，他也要奉洋教，歌颂耶和华；"
