node_id,labels,name,node_type,article_id,segment_id,title,text
article_3951d46919fab24e,Article,玄学与科学 ——评张君劢的《人生观》,Article,丁文江_000_3ba07a5e,,玄学与科学 ——评张君劢的《人生观》,
author_eab6340e86552c63,Author,丁文江,Author,,,,
article_de132b1bdec359e7,Article,玄学与科学——答张君劢,Article,丁文江2_000_e838922e,,玄学与科学——答张君劢,
article_c87fce002b18652f,Article,“玄学与科学”论争的余兴,Article,丁文江3_000_94b5c2f9,,“玄学与科学”论争的余兴,
segment_3226bbda4bef5340,Segment,丁文江_000_3ba07a5e_s0000,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,"玄学真是个无赖鬼——在欧洲鬼混了二千多年，到近来渐渐没有地方混饭吃，忽然装起假幌子，挂起新招牌，大摇大摆的跑到中国来招摇撞骗。你要不相信，请你看看张君劢的《人生观》!（见前）张君劢是作者的朋友，玄学却是科学的对头。玄学的鬼附在张君劢身上，我们学科学的人不能不去打他；但是打的是玄学鬼，不是张君劢，读者不要误会。

玄学的鬼是很利害的，已经附在一个人身上，再也不容易打得脱，因为我们打他的武器无非是客观的论理同事实，而玄学鬼早已在张君劢前后左右砌了几道墙。他叫他说人生观是“主观的”、“直觉的”、“自由意志的”、“起于良心之自动而决非有使之然者也”、“决非科学所能为力，惟赖诸人类之自身而已”。而且“初无论理学之公例以限制之，无所谓定义，无所谓方法”。"
segment_42fb0dea4b59568c,Segment,丁文江_000_3ba07a5e_s0001,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0001,,"”、“自由意志的”、“起于良心之自动而决非有使之然者也”、“决非科学所能为力，惟赖诸人类之自身而已”。而且“初无论理学之公例以限制之，无所谓定义，无所谓方法”。假如我们证明他是矛盾，是与事实不合，他尽可以回答我们，他是不受论理学同事实支配的。定义，方法，论理学的公例，就譬如庚子年联军的枪炮火器，但是义和团说枪炮打不死他，他不受这种火器的支配，我们纵能把义和团打死了，他也还是至死不悟。

所以我做这篇文章的目的不是要救我的朋友张君劢，是要提醒没有给玄学鬼附上身的青年学生。我要证明不但张君劢的人生观是不受论理学公例的支配，并且他讲人生观的这篇文章也是完全违背论理学的。我还要说明，若是我们相信了张君劢，我们的人生观脱离了论理学的公例、定义、方法，还成一个什么东西。

### 人生观能否同科学分家？"
segment_9e979166ee9023e7,Segment,丁文江_000_3ba07a5e_s0002,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0002,,"这篇文章也是完全违背论理学的。我还要说明，若是我们相信了张君劢，我们的人生观脱离了论理学的公例、定义、方法，还成一个什么东西。

### 人生观能否同科学分家？

我们且先看他主张人生观不受科学方法支配的理由。他说：

“诸君久读教科书，必以为天下事皆有公例，皆为因果律所支配。实则使诸君闭目一思，则知大多数之问题，必不若是之明确。……甲一说，乙一说，漫无是非真伪之标准。此何物欤？曰，是为人生。同为人生，因彼此观察点不同，而意见各异，故天下古今之最不统一者莫若人生观。”

然则张君劢的理由是人生观“天下古今最不统一”，所以科学方法不能适用。但是人生观现在没有统一是一件事，永久不能统一又是一件事。除非你能提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。"
segment_83b7396356ce3fec,Segment,丁文江_000_3ba07a5e_s0003,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0003,,"最不统一”，所以科学方法不能适用。但是人生观现在没有统一是一件事，永久不能统一又是一件事。除非你能提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。何况现在“无是非真伪之标准”，安见得就是无是非真伪之可求？不求是非真伪，又从那里来的标准？要求是非真伪，除去科学方法，还有什么方法？

我们所谓科学方法，不外将世界上的事实分起类来，求他们的秩序。等到分类秩序弄明白了，我们再想出一句最简单明白的话来，概括这许多事实，这叫做科学的公例。事实复杂的当然不容易分类，不容易求他的秩序，不容易找一个概括的公例，然而科学方法并不因此而不适用。不过若是所谓事实，并不是真的事实，自然求不出什么秩序公例。譬如普通人看见的颜色是事实，色盲的人所见的颜色就不是事实。"
segment_78d30d32df8d6300,Segment,丁文江_000_3ba07a5e_s0004,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004,,"个概括的公例，然而科学方法并不因此而不适用。不过若是所谓事实，并不是真的事实，自然求不出什么秩序公例。譬如普通人看见的颜色是事实，色盲的人所见的颜色就不是事实。我们当然不能拿色盲人所见的颜色，同普通所谓颜色混合在一块来，求他们的公例。况且科学的公例，惟有懂得科学的人方能了解。若是你请中国医生拿他的阴阳五行，或是欧洲中古的医生拿他的天神妖怪，同科学的医生来辩论，医学的观念，如何能得统一？难道我们就可以说医学是古今中外不统一，无是非真伪之标准，科学方法不能适用吗？玄学家先存了一个成见，说科学方法不适用于人生观；世界上的玄学家一天没有死完，自然一天人生观不能统一，但这岂是科学方法的过失吗？

张君劢做的一个表，列举九样我与非我的关系，但是非我的范围，岂是如此狭的？岂是九件可以包括得了的？"
segment_8e48bef539ef5e54,Segment,丁文江_000_3ba07a5e_s0005,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005,,"没有死完，自然一天人生观不能统一，但这岂是科学方法的过失吗？

张君劢做的一个表，列举九样我与非我的关系，但是非我的范围，岂是如此狭的？岂是九件可以包括得了的？我们可以照样加几条：

（十）就我对于天象之观念——星占学，天文学  
（十一）就我对于物种之由来——上帝造种论，天演论

再加（十二）（十三）以至于无穷，为什么单举他所列的九项？试问有神论无神论等观念的取舍，与我所举的（十）（十一）两条，是否有绝大关系？照论理极端推起来，凡我对于非我的观念无一不可包括在人生观之中。假若人生观真是出乎科学方法之外，一切科学岂不是都可以废除了？

张君劢也似乎觉得这样列举有点困难，所以他加以说明：“人生为活的，故不如死物质之易以一律相绳也。”试问活的单是人吗？动植物难道都是死的？何以又有什么动植物学？"
