node_id,labels,name,node_type,article_id,segment_id,title,text
article_ad4abc78fd2c4352,Article,心理现象与因果律,Article,唐钺_000_b5cd146b,,心理现象与因果律,
author_34b4d23ca60cd96c,Author,唐钺,Author,,,,
article_0626d50277d85060,Article,“玄学与科学”论争的所给的暗示,Article,唐钺_001_c4e36ba4,,“玄学与科学”论争的所给的暗示,
article_9d57c34488cccfc3,Article,一个痴人的说梦 ——情感真是超科学的吗？,Article,唐钺_002_5e996979,,一个痴人的说梦 ——情感真是超科学的吗？,
article_979dd07f85a80b34,Article,科学的范围,Article,唐钺_003_1292971a,,科学的范围,
article_ae6d1757200deceb,Article,读了《评所谓“科学与玄学之争”》以后,Article,唐钺_004_0712956a,,读了《评所谓“科学与玄学之争”》以后,
segment_9be5f9adcb3852a5,Segment,唐钺_000_b5cd146b_s0000,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000,,"### 引言

在讨论以前，我要声明两件事：

第一，我这篇文的主意，在说明一切心理现象是受因果律所支配的；所有议论，其中很多是人家说过的，不过我把他们应用于本题罢了。

第二，篇中关于心理学内部的问题，都没有精密详细的讨论。这是没有法子的，因为篇幅所限，只能说个大概，以便做讨论的材料而已。

### 前论

#### （一）因果律的性质

我所谓因果律，就是说：一切现象，都有原因。比方我们遇了甲现象，随后就有乙现象发生；如没有甲，乙就不会发生；那末，我们就说，甲是乙的因。浅显的例，就如雪见日光就溶化，日光是雪化的因，这是知识没到十分精密时的说法。到了精密的时期，我们就有一个数学的公式来表达这种关系。再用前例说，我们有一个公式表明日光的热度与雪溶的速率的关系。到了这时候，我们可以不说前因后果，只说甲乙两种现象相待为变就是了。牛顿的万有引力公式，就是如此。但是无论如何，我们可以说，因果的关系，不过是可以互从推知的意思。换言之，遇甲现象发生，知道乙也要发生；见甲现象到某程度，就知道乙现象到某相当的程度。

因果律有几种应该注意的地方，可以略说一下子：

（甲）因果律是从经验得来的。初民及幼儿每每不知道有因果律，所以往往有可笑的幻想同奢望。但是，无因论者（为便利起见，我称主张心理现象是不受因果律所支配的人做无因论者；"
segment_20d459481d6e6ca4,Segment,唐钺_000_b5cd146b_s0001,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0001,,"）因果律是从经验得来的。初民及幼儿每每不知道有因果律，所以往往有可笑的幻想同奢望。但是，无因论者（为便利起见，我称主张心理现象是不受因果律所支配的人做无因论者；下文仿此）一定要引康德的主张，说因果律是理性中所固有的，是先乎经验的范畴。这种主张，现在已经受许多人抨击。纵使他是真实，那末，无因论者恐怕要自讨苦吃。因为康德说一切现象，都是受因果范畴的支配，心理现象当然不能除外。因为他主张本体不可经验，所经验者都是现象。心理现象，是经验内的事，当然不是本体。但是，因果律的来源，与本题无大关系；并且我不赞成康德的因果观，也不屑把他来驳无因论。

（乙）我们知道甲因生乙果，并用不着知道甲乙的详情细节。比方，一张纸放在火里头，是要烧着的。火焰的顷刻万变，纸被烧的状态和速度，我们不用知道，而可以断定火因必有烧纸之果。若用罗素的说法，就是因果的关系，不是说同一个因必有同一个果，乃说同一种的因必有同一种的果。

（丙）有时我们明明知道一现象有因果，而不能由因推果或由果推因：这是因为因果过于复杂的缘故。所以不能以我们不会推知为该现象无因的理由。譬如瀑布击石时喷出无数浪花，这种浪花，我们知道是依着力学公式的，并且这种公式是精密的。但是，就是力学专家，要预断所喷出百千点浪花的大小、方向、速度，恐怕也只好敬谢不敏了。然而我却不能因此说浪花的情状是无因的。

#### （二）心理现象的性质"
segment_d838f0232d6f56d5,Segment,唐钺_000_b5cd146b_s0002,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0002,,"但是，就是力学专家，要预断所喷出百千点浪花的大小、方向、速度，恐怕也只好敬谢不敏了。然而我却不能因此说浪花的情状是无因的。

#### （二）心理现象的性质

（甲）行为派的主张 依此派的主张，心理现象，就是行为，就是人体对于刺激（外界的或体内的）的反应（筋肉的或泌腺的）。这种刺激与反应，都是物质现象可以为外人所观察的，可以用物质科学方法研究的，完全有因的。这样说，一切心理现象（感情、意志、思想等）都是物质现象。所谓纯粹思想，也不过是隐微的语言器官的变动，也同别的物质现象一样受因果律的支配。所以从行为派的眼光看来，无因论者的主张，完全不能成立。但是无因论者一定不承认行为派的主张。我现在姑让一步：所以下文讨论，都是容纳他们的心理现象的定义，就是心灵派的主张。

（乙）心灵派的主张 心灵派含两派：一构造派，一机能派。两派的问题方法不同，但是他们所承认为心理现象的是相同的。就是，凡通常所谓非物质的现象，如感情意志之类，都是心理现象。这是普通的定义，所以不用细讲。

### 本论 一切心理现象是有因的

我的主张——一切心理现象都是有因的——当然不是已经完全证实的。若是完全证实，也用不着我来辩论。比方，火会烫伤皮肤，是完全证实的。假如有人不相信，我就请他自己去实验。但是，虽然我们没有证实一切心理现象都是有因的，然而据我们的经验，许多心理现象是有因的；"
segment_46bde37e79605aa1,Segment,唐钺_000_b5cd146b_s0003,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003,,"论。比方，火会烫伤皮肤，是完全证实的。假如有人不相信，我就请他自己去实验。但是，虽然我们没有证实一切心理现象都是有因的，然而据我们的经验，许多心理现象是有因的；也有前此以为无因的，后来知识进步，也找出他的因来；因此我们可以相信一切心理现象都是如此。其实一切物质现象有因的根据，也不过如是，而我们都深信不疑，何以独独疑到心理现象呢？我可以设一譬喻。假如我们在一条长路上走，据已往的经验，那条路每距一丈就有一棵树。我们走了几百里，都是这样。现在我们望见前路远处还有排列整齐，像树的样子的东西。我们就预测他们也是树了。这假定当然不是一定不错的；但是比说他们一定不是树的，他的根据强固得多了。所以除非无因论者能举实在的例，证明某种心理现象没有一点原因，我们总相信一切心理现象是有因的。

无因论者当然以为他们的主张是有证据的。我现在把这些所谓证据批评一下子：

（甲）无因论者说，心理现象的大部分，现在还不知道他们的原因。既然不知道，何以知他们一定有原因呢？我们可以回答他如下：心理现象的因果，当然是比物质现象的因果复杂得多。物质界的因果，如瀑布喷沫，都有时不能推测，何况心理界的因果呢？许多心理现象，虽然不知道他们的原因，然而据既往的经验，可以说他们一定有因的。这一层，我在上节说过了。至于以为他们一定是无因的，一点根据都没有。他们又说，我们的直接经验，觉得他们是无因的。这“觉得”是靠不住的。"
