node_id,labels,name,node_type,article_id,segment_id,title,text
article_0a206f1e2104908f,Article,《自由世界与必然世界》,Article,瞿秋白_000_a4753ce4,,《自由世界与必然世界》,
author_bc8968083604f1a8,Author,瞿秋白,Author,,,,
article_56991240c8931b95,Article,实验主义与革命哲学,Article,瞿秋白_001_3dbfe529,,实验主义与革命哲学,
segment_ed82acd06886e158,Segment,瞿秋白_000_a4753ce4_s0000,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0000,,"今年春夏间，《努力周报》丁文江、胡适之先生等与张君劢先生辩论科学与人生观。我看他们对于自然科学与社会科学之争辩实在打不着痛处。（1923年2月，张君劢到清华学校讲演所谓“人生观”问题，鼓吹柏格森的生命主义哲学，说什么“人生观问题之解决，决非科学所能为力”。而只能由“玄学”即唯心主义哲学来解决。遂挑起所谓“科学与玄学”的论战，即科学与人生观的辩论。）

　　可是因为辩论所涉太广，我不愿意直接加入，弄得我的文章变成论战体（“polemique”）的，读者反不易懂。我只说：“所论的问题，在于承认社会现象有因果律与否，承认意志自由与否”，别的都是枝节。所以我试一论“必然”与“自由”的意义。——“That is the question！”（“问题是在这里！”）

　　一、自然现象及社会现象之规律性

　　人类社会的发展与自然界的发展各有不同的历史。最显著的差异，便是：自然界里只有无意识的盲目的各种力量流动而互相影响；此中共同因果律的表现，亦仅只因为这些力量的互动。自然界里绝对无所谓愿望、目的。人类社会的历史里却大不同——这里的行动者是有意识的人，各自秉其愿欲或见解而行，各自有一定的目的。固然，研究各时代或各战役的时候，这一异点，应当特别注意，因为他对于人类历史有很重大的价值；然而并不能因此而否认历史的进程之共同因果律。表面上看来，历史之中，虽然有人所愿望的目的，而实在还是偶然的事居多。"
segment_b1373082190c4669,Segment,瞿秋白_000_a4753ce4_s0001,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0001,,"应当特别注意，因为他对于人类历史有很重大的价值；然而并不能因此而否认历史的进程之共同因果律。表面上看来，历史之中，虽然有人所愿望的目的，而实在还是偶然的事居多。所愿望的事能够真正实现的——非常之少。人的目的往往互相冲突反对，或者是根本上不能实行，或者是手段不足以实行。历史之中无数不同的倾向及行动互相冲突，其结果却与无意识的自然界毫无差异。凡行动都有所愿望的目的；然而此等行动之结果却往往并非所愿。即使表面上看来，结果与原定目的相符，而实际上此等结果又能引出非所愿望的事，决不能刚刚是人所愿望的。因此，社会里与自然界同样是偶然的事居多。然而凡有“偶然”之处，此“偶然”本身永久被内部隐藏的公律所支配。科学的职任便在于发见这些公律。

　　历史的进程大致是：各人自求其目的而有所行动，于是无数人的行动互相牵掣推移而进展，便成历史。各人的目的和意志受愿望与见解的规定。然而直接规定愿望和见解的各种影响，又各不相同。此等影响或来自外物，或出于思想：虚荣心，“爱真理及正义”，个人的毒恨，甚至于一切肉欲。然而一方面，我们已经说明个人的愿望决不能完全实现；所以这些愿望根本上便只有第二等重要的价值。别方面，却发生了新的问题：“究竟是什么样的力量支配着人的意志而能使移易方向；究竟是什么样的历史原因反映于人的思想里而引起各种愿望？”

　　旧派的唯物论向来不设这种问题。"
segment_bb4d065af4fb2f2f,Segment,瞿秋白_000_a4753ce4_s0002,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0002,,"发生了新的问题：“究竟是什么样的力量支配着人的意志而能使移易方向；究竟是什么样的历史原因反映于人的思想里而引起各种愿望？”

　　旧派的唯物论向来不设这种问题。他们的历史观实在是唯用主义（实验主义）的：可以分历史上的人物为“好人”与“坏人”，各依其所愿望为标准而断，研究的结果大半是好人吃亏而坏人沾光。于是就说历史发展中并无所谓“天道”——这算是唯物论！其实这种学说自己就反对唯物论：他以为思想的动机是历史事实的最后原因，而不去研究那思想动机后所隐匿的动机。这种学说的不一贯，不在于他承认思想动机之存在，而在于他不追究思想动机之后的最后原因。

　　历史现象的研究应当更深一层。英雄伟人以至于群众的动机，不论是显而易见的或是隐匿难见的，都不是历史现象的最后原因；最后原因却是造成这些种种动机的现实力量。黑智儿（黑格尔）的历史哲学不承认个人的动机是最后原因，然而他承认是哲学思想的流派：他寻求最后的原因不在历史之中，而在历史之外。譬如黑智儿解释希腊史，他不细细考究希腊史实之间的联系原因，而说希腊史是真美个性之创造过程，说是艺术作品的实现。客观的唯心论之谬误，就在于此。

　　历史中之政治家的动机，不论是有意的或是无意的，必定与最后原因相联系。个人的动机无论如何重要，总敌不过群众的动机，或是民族的，或是阶级的；所以研究历史的原因，必须追究群众动机的根源。"
segment_630611b77c439684,Segment,瞿秋白_000_a4753ce4_s0003,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0003,,"，不论是有意的或是无意的，必定与最后原因相联系。个人的动机无论如何重要，总敌不过群众的动机，或是民族的，或是阶级的；所以研究历史的原因，必须追究群众动机的根源。然而群众动机，还不仅在于短期的爆发或涌动（如中国之五四运动时之群众心理），而在于能引起历史上之巨大变更的长期运动，所谓时代思潮，或是明显的有组织有意识的，或是隐藏的无组织无意识的。先细察此等动机——或是直接明了的，或是托之神秘幻想的，——只要是能侵入群众及其首领（所谓伟人）的头脑的，都要研究；再进便求此等动机的最后原因；如此，方能发见历史进化里的公律以及某一时代或某一地域之特别公律。

　　二、自由与必然

　　既如此，一切动机（意志）都不是自由的而是有所联系的；一切历史现象都是必然的。——所谓历史的偶然，仅仅因为人类还不能完全探悉其中的因果，所以纯粹是主观的说法。决不能因为“不知因果”便说“没有因果”。

　　或者有人说：“若是承认一切现象，甚至于精神现象都是必然的，那就人的行为都成了盲目的不自由的了！”其实，所谓“自由”（绝无因果）仅仅是尚未了解的“必然”。“必然”的所以显着是盲目的，亦仅仅因为暂时不可了解。凡是可以了解的“必然”，就决不是盲目的。“自由”不在于想象里能离自然律而独立，却在于能探悉这些公律；因为只有探悉公律之后，方才能利用这些公律，加以有规划的行动，而达某种目的。"
segment_12a6ddaef987a1bc,Segment,瞿秋白_000_a4753ce4_s0004,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0004,,"“必然”，就决不是盲目的。“自由”不在于想象里能离自然律而独立，却在于能探悉这些公律；因为只有探悉公律之后，方才能利用这些公律，加以有规划的行动，而达某种目的。因此所谓“意志自由”，当解作：“确知事实而能处置自如之自由”；若是否认因果律，就算自由，那真是盲目的真理了！人的意志愈根据于事实，则愈有自由；人的意志若超越因果律，愈不根据于事实，则愈不自由。——因为不知因果律，便无从决定行为，只有孤注一掷的赌博的侥幸心，而绝无所谓自由意志。“自由”实在就是能克制自然及自己，然必以知悉自然的必要为根据；所以“自由”本是历史发展之必然的产物。最早的人，在草昧时代，各方面都不自由，与禽兽无异；然而每一次的文化进步，都是行近自由的一步。人类历史的初步便是火之发明：发见机械的动及摩擦可以生热及火；——到最近代的文明，却是变热力成机械的动。人类离自然而独立自由，完全在于探悉自然界的公律。人类历史的发展里，人若欲求得自由，欲求脱离社会现象之“自生自灭性”的压迫，而进于自由处置社会现象的威权，亦必须探悉社会现象里的“必然”的因果律。空言意志自由，甚至于否认因果律以立意志自由——那简直是自相矛盾。

　　三、历史的必然与有意识的行动

　　资本主义时代的强有力的生产工具若能变成公共的财产，生产制度若得按照着社会关系而组织，那时，人类方能完全克服自然，才能完全制止自己的盲动。"
segment_7bf6294c6d30b081,Segment,瞿秋白_000_a4753ce4_s0005,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0005,,"然与有意识的行动

　　资本主义时代的强有力的生产工具若能变成公共的财产，生产制度若得按照着社会关系而组织，那时，人类方能完全克服自然，才能完全制止自己的盲动。只有到了那个时候，人类方才能有意识的制造自己的历史。只有到了那个时候，人类的意志（社会的原因）方才渐渐的能实现。只有到了那个时候，为人类所支配而动的社会原因，方才能渐近其所愿望的目的。“这是从必然世界至自由世界之一跃”。

　　第一，应当明了“必然”的意义。亚里士多德便说“必然”有种种程度的不同。譬如：必然要吃药，病才会好；必然要呼吸，人才会活；必然要到上海去，才能讨着债。这是所谓“附条件的必然”——假使要病好，我们便应当吃药；假使要活，我们便应当呼吸。人类经营生活，对外物有所动作，常常遇见这一种的“必然”：假使他要收获，他便必然要先种植；假使他要打野兽，他便必然要射箭；假使他要开动汽机，他便必然要积蓄热力。此种“附条件的必然”里，显然有“服从”的成分在内。人若能不费劳力，而满足自己的需要，那时他就更自由些；因此，即使人能征服自然，使自然为人服务，那时，人仍旧是服从自然。然而这种对于自然之“服从”，却是人类解放的条件：人若服从自然则对于自然的威权反而增长，人的自由亦就增长。所谓服从自然（必然），是说服从自然律；所谓征服自然，是说征服自然本身。组织有规划的社会生产时亦是如此。"
segment_a76673b4d9d74ea8,Segment,瞿秋白_000_a4753ce4_s0006,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0006,,"：人若服从自然则对于自然的威权反而增长，人的自由亦就增长。所谓服从自然（必然），是说服从自然律；所谓征服自然，是说征服自然本身。组织有规划的社会生产时亦是如此。服从技术上及经济上的某几种“必然”，人便能破毁那受自己生产品所支配的“作茧自缚”的怪现象，人便能得多量的真正自由。他的“服从”正是他的“解放”之源泉。

　　其次，所谓“必然”还有“障碍力”的意思：就是特别的一种力量，强迫我们不能照着自己的心愿去做，而只能做违心之举。这种“必然”的确是人的“自由的对敌”。然而应当知道：外力固然足以使事实与我们的心愿相违异，可是他亦能使事实与我们的心愿相适合。我们的心愿，自己能成为一种外力。——只看我们的观点如何。譬如“强迫地主无代价移让土地权于贫农”——这是一件事实，他对于地主，确是很可恨的一种历史的必然；然而对于贫农，却是他的自由意志之表现。至于“以相当报酬赎取土地于地主”，——对于地主是自由意志之表现，对于贫农便是可恨的历史的必然。

　　于是，可见“附条件的必然”和“障碍力的必然”都不是绝对与自由意志不能并立的；却是相反相成的。

　　再则，最重要最根底的问题，便是“因果的必然”。那“附条件的必然”是主观的行动，“障碍力的必然”是主观的受动。至于“因果的必然”才是客观的解释。或者以为社会发展既有因果的必然，便可以绝不行动，便无从有意识地去助长某种历史的发展。"
