node_id,labels,name,node_type,article_id,segment_id,title,text
article:4fbfde5f963e,Article,箴洋八股化之理学,Article,吴稚晖_000_7d60d047,,箴洋八股化之理学,
author:195b5048c986,Author,吴稚晖,Author,,,,
article:e8dae33287d6,Article,一个新信仰的宇宙观及人生观,Article,吴稚晖_001_b4c0e810,,一个新信仰的宇宙观及人生观,
segment:b7a4633732f8,Segment,吴稚晖_001_b4c0e810_s0056,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0056,,所谓本来充资粮的，所谓晓得要淘汰的，举这些的精虫子蛋，皆权且妄认为无用。因此大米饭三碗一餐，没人非议。红枣几十枚一吞，止算小事。并且鸡蛋到眼，就是和尚也许流涎。所谓“混沌乾坤一气包，也无皮骨也无毛。老僧送尔西天去，请你喉咙里边跑”。到底比便壶里偷燉猪蹄罪恶轻些，欧阳竟无先生也必定点头允许，称是“方便法门”。但是除了少数的贺兰进明（？）一流的龌龊怪物，有什么嗜精癖之外，精虫就不得充数杂粮。然而在从前南京考举子的时代，有首传诵的打油诗，叫做“何物秦淮有，妓楼试院通。廪增附监贡，尿屎血脓虫”。然则狼藉秦淮河边的精虫，天然认为无用，自有担粪夫同尿屎一齐收拾去，充做肥料，间接使他化身在谷子枣子里，供我们大嚼。而且每次性发，制造了二百兆，就是止许有一条放他跑进孕蛋，果真是一条一条无限制的叫他成人有用，人数必然太多，也没有许多白米红枣鲜蛋，能供他受用。因此老僧虽偶尔思凡，也要强制了入定。竟叫他在卵巢里暂增二百兆口，顷刻复灭绝在卵巢里，这又是我佛慈悲，主张绝欲的办法。他是用他实行涅槃，我们也可以借他限制过庶。我们倘然凡心未净，偶尔放二百兆大国民逃出卵巢，他里头的最大多数，自然是自讨苦吃，徒然去逐队脓血，浮沉在秦淮河边。就使有一二强梁头目，公然闯进孕蛋，而花旗国又来了一位女菩萨，叫做珊格夫人，竟能用辣手连孕蛋拖进醋浸棉花里，结果他的历史，决不放他成功有用。但这位女菩萨虽学过些科学，还不算甚精。
segment:eee5e3d0c898,Segment,吴稚晖_001_b4c0e810_s0072,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0072,,"妄在，舍身入梦，救使隆盛。然后再把隆盛之世涅槃，使归正觉。正与我说现在佛法废话，姑可暂予妄在。执笔做梦，救使入世，使主张科学，烧却亡国灭种之佛经，造成物质文明。然后再把物质文明毁灭，共返正觉式的漆黑一团。彼我固同一主张。若笑造物质文明是妄，则造隆盛之世间妄。又是半斤八两之争。我当结以谐语，使彼此同发一笑。吾十四岁时在苏州玄妙观听“小热昏”唱瞎话，他说，“先生吃饭像真珠，吃子下来就变屎，胡勿吃子屎？”这小热昏都比我们彻底。饭便是隆盛之世，及物质文明。屎才是正觉，及漆黑一团。我们若爱正觉及漆黑一团，正应吃屎。吃饭乃是吃妄。但小热昏自己也止是嚼蛆罢了，也不肯吃屎。小热昏罢，吴稚晖罢，王先生罢，欧阳先生罢，皆止管吃饭。有时还偶尔要上禅悦斋呀，六味斋呀，吃至好之饭。因此看来，我们本此精神，止管隆盛之世，止管造物质文明，也不算太愚。物质文明的破产，还是远哩，好比现在正是烧饭，出恭还要到夜分哪。（这一段很像着谤佛，因为在“生小孩人生观”的文章后，微微触犯着不肯生小孩的出家人，也是顺了口收不住，得罪的很。）

上面两个人生观，都是所谓人欲横流的人生观。岂知说穿了，也不见得同道德有多少的冲突。现在且把天理流行的人生观，叫做《覆天载地的招呼朋友人生观》者，再在《太平洋杂志》下一期上拉杂来说说，安慰了别人的精神文明，贡献了理想的物质文明，于是便把一个新信仰，从而结束。再会再会。"
segment:2fb14ce95839,Segment,吴稚晖_001_b4c0e810_s0008,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0008,,"止有让宗教家去贱卖。在我同毛厕里的石头皆受过科学神洗礼的玄学鬼，到底不肯太“无赖”，全把论理抹煞。所以在论理上还是不肯让步，完全否认着有什么上帝，有什么神。

或则另有蒙混着说道，上帝神是有超绝性的，超出于你所谓“一个”的。哈哈，这是“大摇大摆”的“无赖”玄学鬼常作口头禅，用来把人催眠的。可惜那无赖玄学鬼的伎俩，弄不出什么神通，能跳出“一个”的圈子之外。“一个”是包括了“没有世界”，换言之，便是已经包括了超绝。区区只有一点超绝性的上帝神，真正要叫何足道哉，何足道哉了。故尔，那种骇得煞人的显赫的名词，上帝呀，神呀，还是取销了好。否则惟有我吴稚晖毕竟还笑笑罢了。深恐毛厕里的石头，块块都出来争称上帝，争称神，那就上帝神的尊严，终要扫地的呀。

把以上得罪上帝神的插说，完全交代明白，意思就是说我以后说下去，倘然有些离奇得太好笑的名目，假设出来，决非大讲神话。止是要说得浅薄容易听懂，好让环着柴积，在日黄中的听众，听了像煞有介事罢了。

那我便劈头的假设着，我所谓一个，是一个活物。从他“一个”变成现象世界，精神世界，万有世界，没有世界，无论适用时间空间的，不适用时间空间的，顺理成章的，往来矛盾的，能直觉的，不能直觉的，恒河沙数的形形色色，有有无无，自然也通是活物。

又应急要的插说几句：有人问，笑话了！别底先不要问，请问既说没有，叫做“无”，如何还去装上“物”，更说“活”呢？"
segment:90d3d4b551f0,Segment,吴稚晖_001_b4c0e810_s0064,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0064,,"妇名义之道义，以准乎朋友之声气与术方，相与补充也。二者加入男女，遂得夫妇之真。现在男女未到废婚姻程度，故需夫妇之名，需其名，而又行其真，恰合时宜，斯推为高尚矣。究复有性欲媒介其间，因节啬而不即不离，自然趣味更永。粗率认为夫妇之爱，特别微妙，乃不加深察的错误罢了。我为什么要揭去微妙等笼统名词呢？因为笼统说个微妙，等到夹入性欲，往往恃有笼统之微妙，不复能制限极炽之情感，便要弄出甚大的错误。赤裸裸止剩着男女，不成其为夫妇。失夫妇之真，在少数亦或恰能超入无政府世界，其多数定不免于胡同式的对待。

Love一词，毕竟带有义务性质一半。单用“爱”字移译，原已适当。惟华字独用，往往含义两歧。爱国爱人一爱也，爱嫖爱赌又一爱。所以必帮贴一字，意义才能比较固定。现在往往帮上一“恋”字。恋乃未免多带着权利性质。爱上加恋，恰恰好像固定在爱嫖爱赌方面。恋与慕正同。知好色则慕少艾，有妻子则慕妻子（虽定妻之名义，不过作一己慕到之少艾观），这两个慕，即恋爱之确解。赤裸裸止是男女，未尽合于夫妇之真正。孟子于此有微词，以下文慕君与热中连说，可以见之。惟对了父母，能用权利之炽情，移作义务之永爱，过头一点，因为尚孝，故慕父母可以迁就赞同。换句话说，孔夫子赞成好德如好色，其意亦相似。非慕少艾之慕，因慕父母而妥当，亦非好色之好，因好德而高明也。故名love为恋爱，用之于情人较当，用之于老婆则较失当。"
segment:09529b0daa5d,Segment,吴稚晖_000_7d60d047_s0000,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000,,最近张、丁科学之争，虽大家引出了许多学理，沾溉我们浅学不少，然主旨所在，大家抛却，惟斗些学问的法宝，纵然工力悉敌，不免混闹一阵。实在的主旨，张先生是说科学是成就了物质文明，物质文明是促起了空前大战，是祸世殃民的东西。他的人生观是用不着物质文明的。就是免不了，也大家住着高粱秆子的土房，拉拉洋车，让多数青年懂些宋明理学，也就够了。于是丁先生发了气，要矫正他这种人生观，却气极了嫚骂了玄学鬼一场，官司就打到别处去了。后来他终究对着林宰平先生把他的初意简单说了出来，他说：“林先生若承认欧战不一定是科学促成，我的目的达了。”（大意如此）张先生在省宪同志会演说，说政府是暂时存在的东西，我吃惊不小，威廉第二的绿气炮，竟引出了本来慈悲而且科学化的张先生，转变了一个无政府主义者，做我们的同志，我还有何说呢？但是我爱美词，我尤爱真理。无政府时代虽我们不及亲见，我想必定是一个瑶池乐园，决不是高粱秆子土屋，还有拉洋车人的人境。我们人类，自己不要毛皮，自己不要爪牙，四个足跑路很稳当，自己冒险，叫两条后腿独任了跑路，把两条前腿转变成了两只手，便已心怀不良，有要闹出物质文明的整备。张先生应该在此时早早反对那两只毒手，才算真有见地。什么放他在抱犊谷用高粱秆子，会造起土房，他定要不安本分出个孙美瑶同临城的火车战争了。张先生若说他长了手，也便就会读《程氏遗书》及《朱子全书》，精神亦高出于猴子。这我本绝对的承认。
segment:14cedc533c7a,Segment,吴稚晖_001_b4c0e810_s0016,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0016,,"如是而已。然这种蹈空的掉枪花，我们中国古代的玄学鬼常用“孰为正色，孰为正味”等的论调，闹得甚嚣尘上。自然受过科学洗礼的玄学鬼，不肯就把这种空言，来作惟一的搪塞。所以说到第二层，他就要戴上科学面具，正正经经，板起了面孔，来断定毛厕里的石头亦有感觉。他不是说能够按着分类，代毛厕里的石头，做出一部石头心理学。他简单的止要问：我们人类的感觉，是否科学家承认为完全出于神经系？神经系的脑质纤维等等，是否由血液营养，才能做工？倘然我们好几天不装煤（不食），血液枯竭，神经系失其营养，亦即失其感觉，是否为必信之果？“三咽，然后耳有闻，目有见”，这是无论何人承认的呀。那么我们万物之灵的人，吃饱着暖了，神经系才能作用兴奋。一位才子，遇了一位佳人，才臭肉麻的直觉，不识羞的吐露出来，所谓天上人间，独一无二，全为爱情冲动，始有此亲和力。但是，你不见毛厕里的石头么，一旦为化学家捡入玻璃瓶，用火酒的食料供给着，他就排斥一部分故伴，一部分去寻着新的她，发起大大的爱情。他的冲动的爱情，何尝少异于才子佳人？而且他的冲动，能受理性的节制，可结合的结合，不可结合的完全不结合。他的意志的坚强，几远过于人。这样的显然明了，还说毛厕里的石头，是没有感觉的东西吗？他

（一）是有质地，

（二）是有感觉，

非活物而何？

好了！把毛厕里的石头活了起来，我的宇宙观才有着落了。"
segment:26e6bac91b62,Segment,吴稚晖_001_b4c0e810_s0048,Segment,吴稚晖_001_b4c0e810,吴稚晖_001_b4c0e810_s0048,,"，若将终身焉可也。一箪食，一瓢饮，在陋巷，不改其乐亦可也。饮水，曲肱枕之亦可也。即井上有李，三咽然后耳有闻，目有见，亦无不可也。而且饿死勿做贼，尽将出于自然也。而又在平日，一味把取不尽，用不竭，顶便宜的江上清风，山间明月，贮做有客无酒，有酒无肴时的代用娱乐品。还把所谓尽善尽美的道德礼乐，怡悦心脑，连肉味竟可以不知。索性朝晨闻了道，就不吃晚饭，死了也不妨。把他包括说起来，便是凡人不可无高尚的存在，便叫做应有清风明月的嗜好。他的意思，就是凿于口腹而丰于耳目，一样也可以得到生命的舒适。我虽忘不了吃饭，却也极崇拜清风明月，故愿意两全了，成功一个清风明月的吃饭人生观。其实说来说去，无非要当着化了劳力吃不到饭的时节，能做到还是不愿意夺别人的饭来吃，圆满了第三条，去帮着第一条救济第二条，使第二条我的吃饭，不阻碍别人的吃饭，可以实行就是了。

但是这清风明月的吃饭人生观，既为消极道德的极轨，为至难能的“持中”主义，断无不表一百二十分的相对同情。可惜若把这个主义勉强一般人民，便是衣食未足，叫人知荣辱。便是救死不赡，叫人治礼义。便是不等富之，即便教之。春秋责备贤者，或者可以有效。拨乱世而反之正，亦或因有一二模范人物，只手可以擎天。然结果止小部分自尽其心，为天地留正气而已，无补于生民之涂炭者其常。所以大布之衣，大帛之冠，又必务材训农通商惠工，立成器以为天下利，方足以致小康，开太平。"
