node_id,labels,name,node_type,article_id,segment_id,title,text
article:7e0b1b8e59b3,Article,读丁在君先生的《玄学与科学》,Article,林宰平_000_acbbe922,,读丁在君先生的《玄学与科学》,
author:ac8cb1c4aaed,Author,林宰平,Author,,,,
segment:4208187b3b14,Segment,林宰平_000_acbbe922_s0012,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0012,,"属生理，所以觉官的感触并非纯粹心理上看法，这种极端唯物论的见解，似乎在君先生又没有采用，因为他

明明自称为“存疑的唯心论”，然而他的出发点，到底在什么地方呢？或者是他的道理太深奥了，然而他又说是“是一种浅近的科学知识论”。

我们也不能不说他是浅近的了，有好些必须连带讨论的问题，尚且都置而不论，譬如:

(一）甲感触和乙丙等等的感触，是否同一。

(二) 我们感触以外，或不感触之时，有无客观的实在。

(三) 记忆是什么。

(四）物理学基础概念之空间时间，与物质的关系。

至于知识怎样的来由，知识本身是怎么一回事，知识所能知道的有无他的止境：这些较难较复杂的问题，自然更无人愿意讨论的了。

现在且缩小范围，但就原文中所有的而论，书柜子的形式和颜色，普通以为这些都是一眼所能望见的，其实望见虽同，而他本身的性质则大异。就科学上立论，形式或圆或方，他与重量硬度，皆属客观，就是属于外物的本身所固有，不因感官变化而改易。至于颜色等不是物所固有，乃属于人的感觉方面。在君先生所称为天文学的祖宗伽利略他已就这么说，若是相信这个道理，那么我们所感触的物质，实涵有两种原素:(一）客观的原素,(二）主观的原素。这些原素，是无限的，在此无限的当中，我们选定某项，成立所谓概念，究竟与物质自身能否符合，对于物质能否算是知道，不能不说是一个问题。"
segment:f5d0365f501c,Segment,林宰平_000_acbbe922_s0024,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0024,,"定速率时，他的赤道处，会射出油若干，成一个环，这环也跟着油珠旋转。因此得一个定律：就是凡流体珠旋转的时候，他的离心力随速率而增加，可以使此球的赤道射出若干流体。再假定太阳为流体旋转不已，当他绕轴自转的时候，赤道处也会射出流体，先成环，后成断片，后成圆球，圆球自转公转，和中心太阳旋转的方向一样。如地球为扁圆形，土星有三环，皆因赤道射出流体之故，可为这个定律的证明。但是这一类小型的试验，可以适用于心理界么，能够用甚么物质替代思想、意志、情绪等等来做试验么?

如谓纯粹心理现象，虽然不尽能适用天然律；但是还有思想律可以管理他，思想律和天然定律一样，也是一定的，普遍的，凡情境相同的其思想亦无不同。然如黎朋（Gustare Le Bon）在他意见及信仰上，他主张有生物、感情、群众、神秘、理性各种的论理，他以为我们对于生物论理及感情论理，若能明白其构造，则我们必知完全支配之法，不过今日科学尚未能解决此问题，而且其距离尚非常之辽远。又谓理性论理于知识之构成所关甚巨，所有科学之发展皆基于此，然有其不能超越之

限度，理性论理之范围，大致限于物质界内，此是无可讳言的。又如失勒，他批评形式论理，简直不信任思想律。我们现在且不管那些学者的高论，但问思想所走的路径，难道彼此绝对不同？何以人们的意见如是其不一致，所谓一定的普遍的思想律，他的效力究竟在那里?

## (七)"
segment:f6b8b2429ea3,Segment,林宰平_000_acbbe922_s0030,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0030,,"‘一部长夜漫漫历史中秉烛以导吾人之先路者’，这还从何说起？”

我对于在君先生这些话，也觉得这还从何说起。以在君先生平日之讲究做人，他的本意，我知道必不是这样。适之先生从前主张无后主义，他现在很喜欢他的儿子；君勋先生反对科学，他却要邀集知好研究安士坦相对论；在君先生反对良心，恐怕也是这种矛盾性在那里作祟。不然，则为一时快意之谈，但是一般青年看了，或以为科学与良心真是不两立，这种影响可就不小，我希望在君先生以后还是少发这种的议论。又像那些挖苦柏格森的话，也大可不必。柏格森主张无论是否真理，而他在今代哲学上地位，谁也不能把他一笔勾销。即使要非难他，也尽有从学理上攻击他的许多主张可以征引，何必引到罗素所说“柏格森盛名是骗巴黎的时髦妇人得来的”那几句开顽笑的话来刻薄人家。并且这种话对于女人的人格，未免太看不起了，他们果真甘心受了欺骗么?

以上我们不赞成在君先生替科学吹得太过火。然一面有许多人说：科学是完全物质的，机械的，冷酷残忍的；科学文明

的结果，就是这回世界的大战，及现在欧洲财政破产的情形。这种主张，我们也不敢赞成。然此对于科学深文周内的苛论，恰恰和在君先生作践精神文明的态度是一对。安知非由一二主张科学方法万能者之不宽厚的态度所招惹出来的反动呢?

科学的本身，他原没有甚么好坏的问题。利用他来求知识，乃至应用其方法于任何方面，科学自己也并没居功。"
segment:baf5aaec9ed0,Segment,林宰平_000_acbbe922_s0006,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0006,,"义上，诸如此类的辗转应用，一方面固然是思想的进步，而一方面也未始不是学术的毛病，每每一个范围很谨严的名词，应用又应用后来渐渐失其本意，甚至有与原意义完全相反的。杜里舒谓“从前的唯实论，和现在的唯物论差不多，从前所谓主观，即现在所谓客观，从前的客观，有时竟是现在的主观，所以笛卡儿书中的主观，以现在眼光看来，并不是主观，乃是客观。”哲学既有这种情形，其他学问自然也是不免，就如科学一语，恐怕不久也要变成滥套了，这是糟蹋科学，不是提倡科学。

## (三)

在君先生对于“论理”的观念，我也不大明白。这篇文章里

说:

“我们的人生观脱离了论理学的公例、定义、方法，还成一个什么东西？”

这几句话，看来似毫无问题，他全篇还有几处提到论理学的，大约在君先生意思：论理学的方法，就是科学方法，因此把论理和科学又混在一起了。原来科学方法与实质的论理（Material logic）本是相关的，既认为科学与科学的方法不分，自然也可说实质的论理就是科学的了。不过在君先生所谓论理，似乎又不尽指实质的论理而言，看他的讲法，颇带点中古经院派传下来形式论理的旧观念，形式的缺点，往往理论上虽然说得过去，而事实上却不是这么一回事。大家都知道的有个滑稽的论法，他说：一条猫必有一个的尾巴，他比“没有猫”必多出一个尾巴，但是“没有猫有两个尾巴”，所以可说一条猫有三个尾巴。这种推论，也可说是合于科学的方法么？"
segment:69f727f632ff,Segment,林宰平_000_acbbe922_s0021,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0021,,"明说“关系”是有的。有关系即可有知识了。不过他认为因果的关系，并非纯依论理的关系，因为因果之推理，和论理上矛盾律之推断，全然不同，故因果关系乃以经验事实为根据。休姆是个联想派学者，所以他又说因果的关系，无非观念联合的关系，就是一种习惯。譬如抛块石子在水里，一定有他的声音，然此石子的概念，无论怎样分析，始终不能得到声音的概念，所以因的概念中，没有果的概念，他们的关系，只是吾人习惯上每次听见石子抛在水里会有声音，反复多次之后，于是石与声遂生了一种关系，即所谓因果。据休姆这种的讲法，因果完全属于主观的，那里有科学家所谓因果律这样的一个东西，他的本身，根本上被取消了，自然说不到能否管束心理现象。再如柏格森一派之绝对自由论，对于经验的科学上所谓因果律，其看法当然不同，不过这一类议论必非在君先生所乐

闻。——因为在君先生有反对柏格森的论调。——现在且换一方面来说：玛勃（Marbe 德国费尔兹堡派学者）基于自然科学上见解，有所谓改善的因果律。他说：吾人手里拿着一块石子，手指头一放松，石子马上掉在地面。这块石子何以会往下堕呢？无非因手指骤开，而地球又有引力引他堕地，至于堕石所经之路程，以及刚下堕时，各部分中间的相互关系，又必有他种条件，凑合起来才成了这种现象；假使我们抓住这块石子老不放手，他毕竟不堕了。"
segment:59a6bef5a6b4,Segment,林宰平_000_acbbe922_s0015,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0015,,"从那里打起?

在君先生又要判决“思想”的问题了，他说:

“无论思想如何复杂，总不外乎觉官的感触。——直接的是思想的动机，间接的是思想的原质。”

又说:

“我的觉官受了感触，往往经过一个思想的期间，然后动神经系才传命令出去，所以我说我有自觉。旁人有没有自觉呢？我不能直接感触他有，并且不能直接证明他有，我只能推论他有。我不能拿自己的自觉来感触自己的自觉，又不能直接感触人家的自觉，所以研究自觉的真相是很困难。”

请看这种困难，如何渡得过去？他又说:

“我从我的自觉现象推论起来，说旁人也有自觉，是与科学方法不违背的。”

原来还是这个法子，科学就靠了推论算完事么？推论之靠不住，不特我们前头已经讲过，在君先生他自己也说:

“推论是最容易错误的。”

然则这种困难问题，到底怎样的办法呢？在君先生接着就说:

“没有论理的训练，很容易以伪为真。”

讲来讲去，又讲到这位“论理”老先生身上。我们要知道论理所建筑的真实，还是论理的建筑物，和在君先生所极看重的觉官感触并不是一家。

(五)

“概念”、“推论”，他忽然倒霉了，他要受“严格的审查”。这

却是我们所极赞成的。但是怎样的审查呢？原来有两条重要的原则，又根据这个原则，定了三条的方法。

原则第一条：把人类心理变成器械观，又不承认有变态心理，这样的干法，我们很抱歉的又不能赞成了。"
segment:e63eb74b2d41,Segment,林宰平_000_acbbe922_s0003,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0003,,"人类心理，我们固然不能不认为是一种极伟大的理想，但是用科学改良人心，究竟有没有完全的效力呢?

## (二)

现在要问到科学和科学的方法，到底是不是一个东西？自文艺复兴以来直至今日，科学的范围一天推广一天，这是科学发达史所明示我们的。不过尽管怎样的推广，毕竟他有他的范围，不过各人所取的标准不同，所以各自立个分类。自笛卡儿把数学看做一切科学的中心，以能数能量的认为科学，不能数不能量的皆非科学，这种分类法自然是很狭窄的了。其后渐渐放宽的分类，于超经验的数学以外，还认有经验的科学，于是物质与精神之分，殆为多数所采用，如有名之朋斯姆（Bentham

1748—1832 英国伦理学及法理学者）分类，安比尔（Ampere 1775—1836 法国物理学者）分类，晚近如冯德的分类等，其所用名词虽不尽同，其实皆脱不了物质精神对立的分法。冯德分类号称完美，略举其分法如下:

 科学 \left\{\begin{aligned}( 一 ) 纯粹形式的科学 ss 数学 \\ ( 二 ) 经验的实质科学 ss\left\{\begin{aligned}( 一 ) 自然科学 \\ ( 二 ) 精神科学 \end{aligned}\right.\end{aligned}\right. 

自然科学研究客观的经验，精神科学研究主观直接的经验，这种分类在在君先生看来恐怕总有一半玄学的嫌疑。"
segment:871871eff021,Segment,林宰平_000_acbbe922_s0000,Segment,林宰平_000_acbbe922,林宰平_000_acbbe922_s0000,,"在君先生平日的议论，我是很喜欢听他的；他是地质学家而有文学的天才；他又是热心寻求真理的人；他和张君劢先生一向因为这个问题彼此辩论不止一次了，这回在君先生在《努力周报》上发表了这篇文章，算是正式和君劢先生开谈判的第一次。我们对于君劢先生的主张，往常也时有怀疑的地方，可是现在读了在君先生这篇文章，却把我弄得莫名其妙地。我现在不得不把我怀疑的眼光——也许是我的错误——移转来估量在君先生这篇的大作。

## (一)

原文题目是《玄学与科学》，他所批评的却是张君劢的人生观，一开头就很奇怪了。玄学是专讲本体论的，君劢先生在清华讲演对不对另一个问题，但是他明明是讲他的人生观，并没有提到什么玄学。在君先生在这篇文章里，也说玄学家单讲他的本体论，我们决不荒废光阴来攻击他。然则在君先生现在所攻击的，究竟是个什么东西？本体论方面既不加攻击了，难道除了讲本体论之外，还有一个什么叫做玄学么?

还有很奇怪的，就是学者的野心。在君先生说:

“人生观现在没有统一是一件事，永久不能统一又是一件事，除非你能

提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。”

我记得杜威在北京讲演时，他批评柏格森的哲学，起头就说：“詹姆士反对哲学系统，始终没有组织系统的野心，从历史上看来，我们总以为自康德、黑格尔以后，世界上不会再有想组织有系统的哲学了，那里知道先有斯宾塞尔，最近又有柏格森，居然有了这样的野心。"
