node_id,labels,name,node_type,article_id,segment_id,title,text
article:7962bdd8d2f5,Article,序二,Article,胡适_000_993249d7,,序二,
author:ff0cf17a6d6f,Author,胡适,Author,,,,
article:cd7db21f2039,Article,附注 答陈独秀先生,Article,胡适_001_295ca4dc,,附注 答陈独秀先生,
article:efa5da409fea,Article,孙行者与张君劢,Article,胡适_002_c6a0c3b5,,孙行者与张君劢,
segment:9ee9da1badf0,Segment,胡适_002_c6a0c3b5_s0002,Segment,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0002,,"害世。此可以深信而不疑者也。”

请问“据既往以测将来”是不是“以已成之例推算未来？”

然而张君劢又说：

【矛三】“人生观不为论理方法与因果律所支配。”

【盾三】（大前提）“夫事之可以预测者，必为因果律所支配者也。”（小前提）“人类目的，屡变不已；然据既往以测将来，……可以深信而不疑”。（结论）故张君劢深信而不疑“人类目的”（人生观）必为因果律所支配者也！

张君劢翻了二十七十四天的觔斗，原来始终不曾脱离逻辑先生的一件小小法宝——矛盾律——的笼罩之下！哈！哈！

十二，五，十一，上海。

君劢吾兄：

南下二十天，无一日不病；在西湖四日，有两日竟不能走路。现借一个外国朋友家养病，病中读你和在君打的笔墨官司，未免有点手痒，所以写这篇短文，给你们助助兴。文虽近于游戏，而意则甚庄。我希望你不至于见怪罢。

适

---"
segment:9f3bbc40d890,Segment,胡适_000_993249d7_s0000,Segment,胡适_000_993249d7,胡适_000_993249d7_s0000,,"亚东图书馆主人汪孟邹先生近来把散见国内各种杂志上的讨论科学与人生观的文章搜集印行，总名为“科学与人生观”。我从烟霞洞回到上海时，这部书已印了一大半了。孟邹要我做一篇序。我觉得，在这回空前的思想界大笔战的战场上，我要算一个逃兵了。我在本年三四月间，因为病体未复原，曾想把《努力周报》停刊；当时丁在君先生极不赞成停刊之议，他自己做了几篇长文，使我好往南方休息一会。我看了他的《玄学与科学》，心里很高兴，曾对他说，假使《努力》以后向这个新方向去谋发展——假使我们以后为科学作战——《努力》便有了新生命，我们也有了新兴趣，我从南方回来，一定也要加入战斗的。然而我来南方以后，一病就费去了六个多月的时间，在病中我只做了一篇很不庄重的《孙行者与张君劢》，此外竟不曾加入一拳一脚，岂不成了一个逃兵了。我如何敢以逃兵的资格来议论战场上各位武士的成绩呢？

但我下山以后，得遍读这次论战的各方面的文章，究竟忍不住心痒手痒，究竟不能不说几句话。一来呢，因为论战的材料太多，看这部大书的人不免有“目迷五色”的感觉，多作一篇综合的序论也许可以帮助读者对于论点的了解。二来呢，有几个重要的争点，或者不曾充分发挥，或者被埋没在这二十五万字的大海里，不容易引起读者的注意，似乎都有特别点出的需要。因此，我就大胆地作这篇序了。

### （一）

这三十年来，有一个名词在国内几乎做到了无上尊严的地位；"
segment:296973792deb,Segment,胡适_000_993249d7_s0014,Segment,胡适_000_993249d7,胡适_000_993249d7_s0014,,"仰上帝的人们出来替上帝向吴老先生作战。我们要看那些信仰灵魂的人们出来替灵魂向吴老先生作战。我们要看那些信仰人生的神秘的人们出来向这“两手动物演戏”的人生观作战。我们要看那些认爱情为玄秘的人们出来向这“全是生理作用，并无丝毫微妙”的爱情观作战。这样的讨论，才是切题的、具体的讨论。这才是真正开火。这样战争的结果，不是科学能不能解决人生的问题了，乃是上帝的有无，鬼神的有无，灵魂的有无……等等人生切要问题的解答。

只有这种具体的人生切要问题的讨论才可以发生我们所希望的效果，——才可以促进思想上的刷新。

反对科学的先生们！你们以后的作战，请向吴稚晖的“新信仰的宇宙观及人生观”作战。

拥护科学的先生们！你们以后的作战，请先研究吴稚晖的“新信仰的宇宙观及人生观”：完全赞成他的，请准备替他辩护，像赫胥黎替达尔文辩护一样。不能完全赞成他的，请提出修正案，像后来的生物学者修正达尔文主义一样。

从此以后，科学与人生观的战线上的押阵老将吴老先生要倒转来做先锋了！

### （四）

说到这里，我可以回到张、丁之战的第一个“回合”了。张君劢说：

> “天下古今之最不统一者，莫若人生观。”（《人生观》页一）

丁在君说：

> “人生观现在没有统一是一件事，永久不能统一又是一件事，除非你能提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。”（《玄学与科学》页三）"
segment:fc209cf92a11,Segment,胡适_000_993249d7_s0018,Segment,胡适_000_993249d7,胡适_000_993249d7_s0018,,"的知识，叫人知道时间的无穷之长。

（3）根据于一切科学，叫人知道宇宙及其中万物的运行变迁皆是自然的，——自己如此的，——正用不着什么超自然的主宰或造物者。

（4）根据于生物的科学的知识，叫人知道生物界的生存竞争的浪费与惨酷，——因此，叫人更可以明白那“有好生之德”的主宰的假设是不能成立的。

（5）根据于生物学、生理学、心理学的知识，叫人知道人不过是动物的一种，他和别种动物只有程度的差异，并无种类的区别。

（6）根据于生物的科学及人类学、人种学、社会学的知识，叫人知道生物及人类社会演进的历史和演进的原因。

（7）根据于生物的及心理的科学，叫人知道一切心理的现象都是有因的。

（8）根据于生物学及社会学的知识，叫人知道道德礼教是变迁的，而变迁的原因都是可以用科学方法寻求出来的。

（9）根据于新的物理化学的知识，叫人知道物质不是死的，是活的；不是静的，是动的。

（10）根据于生物学及社会学的知识，叫人知这个人——“小我”——是要死灭的，而人类——“大我”——是不死的，不朽的；叫人知道“为全种万世而生活”就是宗教，就是最高的宗教；而那些替个人谋死后的“天堂”“净土”的宗教，乃是自私自利的宗教。

这种新人生观是建筑在二三百年的科学常识之上的一个大假设，我们也许可以给他加上“科学的人生观”的尊号。但为避免无谓的争论起见，我主张叫他做“自然主义的人生观”。"
segment:fefde6985667,Segment,胡适_000_993249d7_s0020,Segment,胡适_000_993249d7,胡适_000_993249d7_s0020,,"因果律的笼罩一切，也并不见得束缚他的自由，因为因果律的作用一方面使他可以由因求果，由果推因，解释过去，预测未来；一方面又使他可以运用他的智慧，创造新因以求新果。甚至于生存竞争的观念也并不见得就使他成为一个冷酷无情的畜生，也许还可以格外增加他对于同类的同情心，格外使他深信互助的重要，格外使他注重人为的努力以减免天然竞争的惨酷与浪费。——总而言之，这个自然主义的人生观里，未尝没有美，未尝没有诗意，未尝没有道德的责任，未尝没有充分运用“创造的智慧”的机会。

我这样粗枝大叶的叙述，定然不能使信仰的读者满意，或使不信仰的读者心服。这个新人生观的满意的叙述与发挥，那正是这本书和这篇序所期望能引起的。

---"
segment:fc386fc9b141,Segment,胡适_000_993249d7_s0016,Segment,胡适_000_993249d7,胡适_000_993249d7_s0016,,"，柯白尼太阳居中说，同后来的达尔文的人猿同祖说发明以后，世界人类的人生观起绝大变动；这是无可疑的历史事实。若人生观是直觉的、无因的，何以随自然界的知识而变更呢？我们因为深信人生观是因知识经验而变换的，所以深信宣传与教育的效果可以使人类的人生观得着一个最低限度的一致。

最重要的问题是：拿什么东西来做人生观的“最低限度的”一致呢？

我的答案是：拿今日科学家平心静气地、破除成见地公同承认的“科学的人生观”来做人类人生观的最低限度的一致。

宗教的功效已曾使有神论和灵魂不灭论统一欧洲（其实何止欧洲？）的人生观至千余年之久。假使我们信仰的“科学的人生观”将来靠教育与宣传的功效，也能有“有神论”和“灵魂不灭论”在中世欧洲那样的风行，那样的普遍，那也可算是我所谓“大同小异的一致”了。

我们若要希望人类的人生观逐渐做到大同小异的一致，我们应该准备替这个新人生观作长期的奋斗。我们所谓“奋斗”，并不是像林宰平先生形容的“摩哈默得式”的武力统一；只是用光明磊落的态度，诚恳的言论，宣传我们的“新信仰”，继续不断的宣传，要使今日少数人的信仰逐渐变成将来大多数人的信仰。我们也可以说这是“作战”，因为新信仰总免不了和旧信仰冲突的事；"
