node_id,labels,name,node_type,article_id,segment_id,title,text
article:9bfd9ecc020f,Article,评所谓“科学与玄学之争”,Article,范寿康_000_14d2ac72,,评所谓“科学与玄学之争”,
author:e6ac518c8e8a,Author,范寿康,Author,,,,
segment:64428c7fad9b,Segment,范寿康_000_14d2ac72_s0003,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0003,,"际上虽是各人各殊，但是我们对于这种人生方面各种价值问题的解决未始不能求一种共通应守的规范。这是我对于人生观的私见一斑。

现在我再讨论诸氏关于人生观的意见。

张君劢氏在那篇《人生观》里面不过列举了九条我与非我的关系，他对于人生观起初本没有提出一个明白的定义。丁文江氏在第一篇《玄学与科学》中间，就驳他说是我与非我的关系不止九条。张氏虽对丁氏的驳论仍有答辩，然丁氏这个责难大体是妥适的。张氏在那篇《再论人生观与科学并答丁在君》一文，他自己也曾下一人生观的定义说:

“人之生于世也，内曰精神，外曰物质。内之精神变动而不居，外之物质凝滞而不进。所谓物质者，凡我以外皆属之。如大地山河，如衣服田宅，则我以外之物也；如父母妻子，如国家社会，则我以外之人也。我对于

我以外之物与人，常求所以变革之，以达于至善至美之境。虽谓古今以来之大问题，不出此精神物质之冲突可也。我对于我以外之物与人，常有所观察也，主张也，希望也，要求也，是之谓人生观。”

张氏在这一段文字里面，我以为有两种地方可以訾议：第一，如丁氏的批评，张氏所定“物质精神的分别是以内外分，以我与非我分”，这一点未免过于幼稚；第二，张氏所谓人生观既是包括一切我对于我以外之物与人上面的观察、主张、希望、要求，那末，难道张氏不是如丁氏所言，也把我与非我的关系已经从九条放大至无穷么?"
segment:e852ff6e15fb,Segment,范寿康_000_14d2ac72_s0009,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0009,,"而外，注目于第二次的科学方法，这也未始无理。然而我要问第二次的科学方法的根源究在那儿？我们有了第一次的科学方法，所谓第二次的科学方法不是就会逐渐由此产生出来么？不过我此地所谓第一次的科学方法，如王星拱氏所言，并不单指形式的论理，此外还包含“许多精密严毅的手续。所谓精密者，是层层不漏空。所谓严毅者，是不以感情而定去取。宗教家小说家实在没

有用过这个方法，而且他们无须用这个方法，或者他们简直不能用这个方法。若用这个方法，那就不成其为宗教、小说了”。张氏对此，不可误解。更进一层，就如张氏所说，我们提倡科学应当把第一次和第二次的科学方法兼行注目，那末，结局张氏所提出的问题不过是应当注目的科学方法的内包问题，对于以科学方法为科学的本质的这一层完全没有关系。

## (四) 人生观与科学的关系

如上所述，人生观既是关于人生的现实及理想两方面的见解，科学又指广义的科学，那末，人生观与科学二者，我以为大部分是有关系的，可是同时我却主张科学决不能解决人生问题的全部。为什么呢？人生观既分做现实和理想两面，那末，我们关于人生所能得到的法则，一部是必然的法则，一部是当然的法则。而人生观既注重于理想方面，关于现实的法则不过是为树立理想的准备，那末，当然的法则自然比必然的法则为重，而所得必然的法则不过是为树立当然的法则的根据。"
segment:2452eddc0e2f,Segment,范寿康_000_14d2ac72_s0001,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,"拈起来就驳。究竟他们两位所谓‘人生观’，所谓‘科学’，是否同属一件东西，不惟我们观

战人摸不清楚，只怕两边主将也未必能心心相印哩。”

梁氏这段评论最是确当。这次论争的缺点我以为第一就在讨论的程次和范围问题多被忽视的一点。梁氏独具只眼，对于这个问题，独能首先认定清楚，而且他又能与以相当的解决，他确不愧为论坛的老将。

对于讨论的程次和范围一层，梁氏而外，伏园氏也有一种提案。伏园氏在《玄学科学论战杂话》里面说:

“我以为现在两方都还没有注意到首先应该注意的三个问题，就是：玄学是什么？科学是什么？人生观是什么？不消说，只是这三个定义就可以讨论几百万言而没有解决。不过至少，我以为双方都应该宣布自己对这三个名词的定义。这样才能使观战人明白，此方之所谓玄学，科学，人生观，是不是彼方之所谓玄学，科学，人生观。”

“不过要讨论这个问题，只是下了那三个定义还不够，我以为还有一个更重要的定义应该明白的，就是哲学是什么？”

伏园氏这个提案虽足以证明他注意到讨论的程次和范围，然而我觉得他的见解已落梁氏之后。他于科学之外，另立一个哲学，不是他已承认科学只能为狭义的科学（不包含哲学在内）么？但是争论者所指的科学倘是广义的科学，那末，他这个另论哲学的意见又未免是另生枝节了。

梁氏及伏园氏而外，王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。"
segment:f0d357e501d4,Segment,范寿康_000_14d2ac72_s0013,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0013,,"生观的解决全赖狭义的科学，狭义的科学能够解决人生观的全部。弄到结局，他们竟至承认人类的意志全受因果律（狭义）的支配，他们看人类直同机械一样，他们否认自由和道德。这种议论是科学家对于人生观所持有的偏见。我对于这一种人生观与科学完全相关的见解也不敢表示赞成。

就人生观与科学的关系而言，完全无关和完全相关的两种见解既都难称妥适，那末，能够成立的自然不出部分相关的见解。诸氏里面抱部分相关的主张最明显的要推梁启超氏。梁氏在他的《人生观与科学》里面说:

“人生问题，有大部分是可以——而且必要用科学方法来解决的。却有一小部分——或者还是最重要的部分是超科学的。”

对于梁氏上面的判断，我是全体赞成的。可是梁氏在那篇的末段对于上面的判断所添的说明还未能使我满意。他说:

“人生关涉理智方面的事项，绝对要用科学方法来解决。关于情感方

面的事项，绝对的超科学。”

对这个说明，我以为梁氏以理智与情感的分别为科学能否解决的界限，这是难算正当。为什么呢？现今的心理学不是已经把情感研究到某种程度么？照梁氏看来，难道心理学不是科学么？梁氏这种结论难怪要引起唐钺氏的《痴人说梦》，说得梁氏无话可答了。现在我在最后，敢替梁氏另下一种的说明如下:

“人类的伦理的当 为的先天形式——就是人类最可宝贵的，站在道德现象的背后而为道德现象的资本的义务意识——是超科学的。"
segment:5c2fafc33e80,Segment,范寿康_000_14d2ac72_s0010,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0010,,"当然的法则。而人生观既注重于理想方面，关于现实的法则不过是为树立理想的准备，那末，当然的法则自然比必然的法则为重，而所得必然的法则不过是为树立当然的法则的根据。因为这个缘故，我们很可以说人生观实在是规范科学里面的伦理学的研究问题，同时我们也可以说：人生观大体就是伦理规范的全部。关于伦理规范，我在拙著《教育哲学的体系》（见《学艺》第四卷）里面，曾有《对于伦理规范的探讨》一节，里面说:

“我们的伦理的规范是由两部分合成的，就是由主观的和客观的部分合成的。良心——就是感觉感情和意志的所合成的统一的意识——有二种的作用。（1）良心命令人类做各人所自认为善的行为。（2）良心又营各种善恶的评价。”做你所自认为善的行为！”这一个命令实在决不会错误的。可是许多的错误却是存在于善恶内容的判定里面，就是：甲以为

善的，乙未必也以为善；乙以为恶的，甲未必也以为恶。康德以为普遍妥当性是伦理规范的要件，我也以为这个普遍妥当性确是重要。一项法则所有的妥当性范围愈小，这项法则的威权也就愈减。倘使只有先验的法则才能够普遍地适用，那末，先天的形式（指1）实在是唯一的道德规范，这是毫无疑义的。所谓直觉主义就立脚于这一点，而且他只能够也只应该中止于这一点；可是事实上他往往还想从主观独断地演绎适用于实际生活的内容的伦理规范（指2),这是直觉主义的根本错误。"
segment:67d0e3147921,Segment,范寿康_000_14d2ac72_s0015,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0015,,"人生观的科学与科学的人生观

任叔永氏在《人生观的科学或科学的人生观》里面下个明白的断定说:

“人生观的科学是不可能的事，而科学的人生观却是可能的事。”

对这个断定，我觉得不十分对。科学的人生观固然可能，人生观的科学为什么谈科学的人一定要让给谈玄学的人去讲？换言之，人生观的科学为什么是不可能？人生观虽有一极小部分是超科学的，但是这一部分是唯一的先天形式，把来做一种最后假定，无所不可，而此外一切对于内容的法则正待用科学方法去切实解决。从来的伦理学就可说是研究生规范的科学。任氏难道不知道这种科学的存在么？我看任氏所以不承认人生观的科学能够成立的理由，似乎在于这一种学问的法则不能强人以必同的这一点。他说:

“张君所说的人生观既然是一个浑沌囫囵的东西，科学方法自然用不上去。张君是不曾学过科学的人，不明白科学的性质，倒也罢了；丁君乃研究地质的科学家，偏要拿科学来和张君的人生观捣乱，真是牛头不对马嘴了。”

照任氏的意思，以为丁氏不能勉强张氏用科学方法去定人生观，那就可以不必拿科学和张氏相辩，也就可以证明人生观的科学不能成立。这样讲来，我们不能勉强他人用科学方法去解决真或美的问题，那末，论理学或美学难道就不能成立了么？说明科学的法则固然是必然的，可是规范科学的法则是当然

的，却非必然的。当然的法则，不能强人以必同，但却不失为一般所要求。"
segment:4878b513c0be,Segment,范寿康_000_14d2ac72_s0008,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0008,,"究艺术或宗教的时候，我们固然可以称这一种科学做艺术学或宗教学，但是断不能称应用科学方法的艺术或宗教（假使有这一种艺术或宗教）做科学。我想丁氏的主张大概也是如此。林氏似可不必吹毛求疵。第二，科学方法虽是科学的本质，但我以为丁氏决不会把科学方法就看做科学。科学方法是一种研究方法，科学是应用这一种研究方法而成立的学问。研究方法和应用这种研究方法的学问当然是不同的。林氏也可不必故生枝节。我以为林氏这段辩论在讨论学术上恐怕是没有多大的价值。

至于张东荪氏呢，他在《劳而无功》中间说:

……丁先生说凡用科学方法都是科学，于是我们的问题一转而变为科学方法的讨论了。科学方法若即是形式论理，则不但玄学用之，宗教用之，乃至小说戏曲亦都用之。于是普天之下莫非科学。科学既早已如此普遍，丁先生大可不必再费九牛二虎之力以提倡了。可见科学方法决不仅是形式论理。……科学各应其对象而各取特殊的方法。这些方法虽是二次的（即林先生所谓实质论理),却是非常重要。若抽离这些各别的二次的方法以成根本的方法，势必愈普遍而愈失其独到的精神。我们要真心提倡科学便不能仅仅注目于空间的根本的抽象的方法。

张氏主张提倡科学应当于第一次的科学方法而外，注目于第二次的科学方法，这也未始无理。然而我要问第二次的科学方法的根源究在那儿？我们有了第一次的科学方法，所谓第二次的科学方法不是就会逐渐由此产生出来么？"
segment:0ee706c27680,Segment,范寿康_000_14d2ac72_s0004,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0004,,"；第二，张氏所谓人生观既是包括一切我对于我以外之物与人上面的观察、主张、希望、要求，那末，难道张氏不是如丁氏所言，也把我与非我的关系已经从九条放大至无穷么?

至于丁文江氏呢，他对于张氏议论的驳击，论锋虽锐，可是他自己对于人生观却未曾发表一明确的定义。此外诸氏里面对于人生观的见解虽颇繁多，然而最得要领的要算梁启超和王星拱二氏。现在把二氏的议论评论一下。余则从略。

梁氏在《人生观与科学》中说:

“人类从心界物界两方面调和结合而成的生活叫做人生。我们悬一种理想来完成这种生活，叫做人生观。”

梁氏这个定义，内容确是明了。他对于人生现实的研究方面虽行忽略，但就大体而言，他的见解是正当的。不过他的文字可惜太简单些。

王氏在《科学与人生观》中，论人生观颇为详细，他说:

“人生观这个名词，因为历史上之沿袭，也有两种不同的意义；一是生命之观念，二是生活之态度。”

倘使我大体可以把生命之观念看做人生现实的问题，把生活之态度看做人生理想的问题，那末，王氏这一层的意见，就我个人看来，大体是不错的。但是王氏关于这两个问题，更写有详明的解决，这里面却颇有怀疑的余地。就生命之观念而论，他以为生物活动和无机界之活动没有根本的区别；就生活之态度而论，他以为意志毫不自由，全受因果律之支配。但是照我

所见，这二点却不是这样容易能够速断的问题。生命和意志问题实是自古迄今尚未解决的谜。"
