node_id,labels,name,node_type,article_id,segment_id,title,text
article:0557e2c0461f,Article,玄学科学论战杂话,Article,孙伏园_000_50fcd0d8,,玄学科学论战杂话,
author:4321995f3a68,Author,孙伏园,Author,,,,
article:0a09528227d2,Article,东荪按,Article,孙伏园_001_119b038d,,东荪按,
author:56a8e92c91b4,Author,张东荪,Author,,,,
article:297330952ca6,Article,关于玄学科学论战之“战时国际公法”,Article,梁启超_000_da81f70e,,关于玄学科学论战之“战时国际公法”,
author:06cd5c2f8873,Author,梁启超,Author,,,,
article:6f5207d5b3cd,Article,人生观与科学,Article,梁启超_001_4a5e589a,,人生观与科学,
article:176c9bb9fec7,Article,东荪按,Article,梁启超_002_40d1afac,,东荪按,
article:407925f8a857,Article,人生观与知识论,Article,甘蛰仙_000_6b354fa0,,人生观与知识论,
author:a41f4d050791,Author,甘蛰仙,Author,,,,
segment:97e8560707db,Segment,梁启超_002_40d1afac_s0002,Segment,梁启超_002_40d1afac,梁启超_002_40d1afac_s0002,,"式，即是关系，即是关系的定式。所以分类乃仍是初步，而不是最后的。至于得了这个“不变的关系”的定式便用一个简单明白的符号以表示之，但这却不是“概括这些许多事实”。这个与其谓是科学方法，毋宁谓是科学的目的。科学以此目的，对于所取的对象可以各取各的方法。如天文学便不能离了望远镜，又如生物学中分出细胞学。可见以来的统一科学则关系科学的各有方法与分枝发展皆无妨碍。否则只是一个所谓科学方法（即分类与归纳等）高悬于上，决不能统一各科学。可见科学之所以为科学不在方法的相同，而在目的的一致。科学既各有方法，而普通所谓科学方法又不外乎论理，于是，我根据这个理由大胆宣告汉学家考据方法不能即算就是科学方法。我承认汉学家有点儿科学精神，但不能以一点的相同，即谓完全相同。本来考古学只是历史地理的一个分支，自有其地位。若把考古学的方法推广而用于其他地方，科学家即承认这个就是科学方法，似乎未免太自贬了。丁先生说爱因斯坦的相对论是科学，梁先生的历史研究法是科学，胡先生的《红楼梦考证》是科学，这话亦似乎犯了笼统的毛病罢。以上所说我未敢自信，所以不敢用专篇发表，特写在此处以求教于梁先生。

—— 转录《时事新报·学灯》——"
segment:af62abf0ef0a,Segment,梁启超_001_4a5e589a_s0002,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,"本身并为一谈。）

我解释这两个名词的内容，不敢说一定对。假定拿以上所说做个标准，我的答案便如下:

“人生问题，有大部分是可以——而且必要用科学方法来解决的。却有一小部分——或者还是最重要的部分是超科学的。”

因此我对于君劢、在君的主张，觉得他们各有偏宕之处。今且先驳君劢。

君劢既未尝高谈“无生”，那么，无论尊重心界生活到若何程度，终不能说生活之为物能够脱离物界而单独存在。既涉到物界，自然为环境上——时间空间——种种法则所支配，断不能如君劢说的那么单纯，专凭所谓“直觉的”、“自由意志的”来片面决定。君劢列举“我对非我”之九项，他以为不能用科学方法解答者，依我看来什有八九倒是要用科学方法解答。他说“忽君主忽民主，忽自由贸易忽保护贸易……等等，试问论理学公例何者能证其合不合乎？”其意以为这类问题既不能骤然下一个笼统普遍的断案，便算屏逐在科学范围以外。殊不知科学所推寻之公例乃是：（一）在某种条件之下，会发生某种现象。（二）欲变更某种现象，当用某种条件。笼统普遍的断案，无论其不能，即能，亦断非科学之所许。若仿照君劢的论调，也可以说：“忽衣裘忽衣葛，忽附子玉桂忽大黄芒硝……试问论理学公例何者能证其合不合乎？”然则连衣服饮食都无一定公例可以支配了，天下有这种理吗？殊不知科学之职务不在绝对的普遍的证明衣裘衣葛之孰为合孰为不合，他却能证明某种体气的人在某种温度之下非衣裘或衣葛不可。"
segment:036c2db21d98,Segment,甘蛰仙_000_6b354fa0_s0010,Segment,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0010,,阳明学说之所赖以传；其在中国人生哲学史上之建设，固已度越常人矣。我辈试深念之：龙溪之在王门，伊川之在太学；其志气为何如？其学养又何如？夫人而无志于做人，斯已耳；如犹有志于做人也，使诚具有龙溪之志气而更取法伊川之学养：安见古今人之不相及耶？天下惟有意志者，能创造崭新之历史；愿吾青年同胞，相与共勉之矣！抑余虽陋劣无似，于平旦内省之余，亦安敢太自暴弃，不从此更向前猛著一鞭也！——近月来张丁二君之玄学科学论战，各皆持之有故，不出乎人生范围之外。余两皆乐观焉！似此兴会淋漓，余或有卷入论战旋涡之一日，亦未可知。特惧外界或疑我将来发言时，于二君有左右袒；而吾之修养力及学力，亦自觉陋劣滋甚，虑不能于二君有所益也；辄于未参战之前，拉杂书其平昔之立脚点如右。
