node_id,labels,name,node_type,article_id,segment_id,title,text
article_d896784a0a988003,Article,箴洋八股化之理学,Article,吴稚晖_000_7d60d047,,箴洋八股化之理学,
author_fa82e189725694e0,Author,吴稚晖,Author,,,,
article_b20a10f7ff28148f,Article,一个新信仰的宇宙观及人生观,Article,吴稚晖_001_b4c0e810,,一个新信仰的宇宙观及人生观,
segment_c620b6ad32fd5f88,Segment,吴稚晖_000_7d60d047_s0000,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0000,,最近张、丁科学之争，虽大家引出了许多学理，沾溉我们浅学不少，然主旨所在，大家抛却，惟斗些学问的法宝，纵然工力悉敌，不免混闹一阵。实在的主旨，张先生是说科学是成就了物质文明，物质文明是促起了空前大战，是祸世殃民的东西。他的人生观是用不着物质文明的。就是免不了，也大家住着高粱秆子的土房，拉拉洋车，让多数青年懂些宋明理学，也就够了。于是丁先生发了气，要矫正他这种人生观，却气极了嫚骂了玄学鬼一场，官司就打到别处去了。后来他终究对着林宰平先生把他的初意简单说了出来，他说：“林先生若承认欧战不一定是科学促成，我的目的达了。”（大意如此）张先生在省宪同志会演说，说政府是暂时存在的东西，我吃惊不小，威廉第二的绿气炮，竟引出了本来慈悲而且科学化的张先生，转变了一个无政府主义者，做我们的同志，我还有何说呢？但是我爱美词，我尤爱真理。无政府时代虽我们不及亲见，我想必定是一个瑶池乐园，决不是高粱秆子土屋，还有拉洋车人的人境。我们人类，自己不要毛皮，自己不要爪牙，四个足跑路很稳当，自己冒险，叫两条后腿独任了跑路，把两条前腿转变成了两只手，便已心怀不良，有要闹出物质文明的整备。张先生应该在此时早早反对那两只毒手，才算真有见地。什么放他在抱犊谷用高粱秆子，会造起土房，他定要不安本分出个孙美瑶同临城的火车战争了。张先生若说他长了手，也便就会读《程氏遗书》及《朱子全书》，精神亦高出于猴子。这我本绝对的承认。
segment_b8149c0ac50d25b8,Segment,吴稚晖_000_7d60d047_s0001,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0001,,"高粱秆子，会造起土房，他定要不安本分出个孙美瑶同临城的火车战争了。张先生若说他长了手，也便就会读《程氏遗书》及《朱子全书》，精神亦高出于猴子。这我本绝对的承认。然即此便可见他长了手，他才有读程朱理学的结果。最初便是物质进步，然后精神进步。就让一步来讲，他精神进步，有将读程朱理学之倾向，他自然便长了手，马上叫物质也跟着进步。精神物质是双方并进，互相促成，什么战争不战争，竟会归咎到物质呢？西方物质进步，故精神亦随了进步。若理想的无战争，必要经由社会主义及张先生的理想无政府主义，才可达到。程朱的理学，他做梦也说不上。没有哥白尼把一个物质的太阳放在中心，张先生理想的无政府名词，在宋明理学书上寻得出么？所以张先生的人生观，现在我的见解，与丁先生又是不同。他并不是撞见了玄学鬼，他乃不曾请教玄学鬼。他的人生观，是误在他的宇宙观。这说来话长，我已在《太平洋杂志》上投一文，带着批评了，现在也可以不必属说。我现在要老实请教张先生的，我有三个武断：

（一）张先生厌恶的物质文明，大约即指种种的所谓奇技淫巧。我说他现在所谓奇技淫巧者，过了数百年，还止同今日高粱秆子的土房一样。张先生若活到彼时，定还要气得腹大如牛，亦且瞠目不晓得如何反对。

（二）从今日而到理想的无政府，至少还有比欧战大的三十六回，同欧战一样的七十二次。这是我的最干脆最让步的批评。

（三）小学强迫虽未普行于全世界，理论则已普遍。"
segment_afc3e6176a8f614e,Segment,吴稚晖_000_7d60d047_s0002,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0002,,"（二）从今日而到理想的无政府，至少还有比欧战大的三十六回，同欧战一样的七十二次。这是我的最干脆最让步的批评。

（三）小学强迫虽未普行于全世界，理论则已普遍。中学强迫，在三十年后，世界上必有一区首先行之。大学强迫在世界完全实行，克己点说三千年，放个大炮说三百年后。到大学强迫的时节，街上的洋车夫，灶下的老妈子，都具有张君劢先生的智识，你想他还会做洋车夫么？还会做老妈子么？他们还肯战争么？他们还会当什么飞机汽车，算得上物质文明么？

本此三武断，可以复下一结论，曰：唯物质文明进步到不可思议，设备强迫全世界人的大学轻而易举，世界方能至于无战争。

如谓此次欧战，如何促成，曰：是乃张先生反对物质文明所促成。有人曰，德国物质文明忽进步不已，制造了东西太多，思往外贩卖。英国物质文明也进步不已，制造了东西太多，也思往外贩卖。因而攘夺贩卖场，就弄到战争。这战争不是明明物质文明所促成？我说这是事实，我所承认。然若世界上都同美国一样，他们到那里去寻贩卖场？还不是大家收了野心，互相交易而退，各得其所，每天发明点奇技淫巧，以相娱乐么？惟其印度有位张先生读太谷儿的好诗，反对物质文明；南洋群岛有位张先生学巫来由长老的静坐，反对物质文明；中国又的确有位张先生，在灰堆里拾着一个程夫子的玩物丧志，好像热狂的拜倒，又反对物质文明。然而从寸布一针都要叫柏林或伦敦供给。"
segment_5d50e6f90acbb78c,Segment,吴稚晖_000_7d60d047_s0003,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0003,,"生学巫来由长老的静坐，反对物质文明；中国又的确有位张先生，在灰堆里拾着一个程夫子的玩物丧志，好像热狂的拜倒，又反对物质文明。然而从寸布一针都要叫柏林或伦敦供给。从前老顽固洋烟是要吸的，洋钱是要拿的，洋学是反对的。现在张先生是理学名儒，洋烟洋钱是不要了。然而火车是要坐的，不肯坐骤车的；轮船是要坐的，不肯坐钓船的；推而至于风扇也要装的，电灯也要点的：于是柏林要揽张先生做主顾，伦敦也要拿张先生算买客，绿气炮便发动了。若归狱于火车轮船风扇电灯洋布洋针，他们老实板起了面孔回报道，你既要用我们，你何不学美国将我们自造？若归狱于张先生的反对物质文明，又要需用他，张先生何说之辞？张先生恕罪，张先生为我们所敬畏之友，且实在是个物质文明提倡者。他是伤心着绿气炮，临时疯癫。凡冒犯个人之处，乃是戏言。至世界有不进步之民族，惹起物质文明进步人之野心，乃是真理。欧战之损失，是余中国人之罪也夫，是余中国人之罪也夫，于物质文明何与？这种话头是三十年前郭筠仙为了刘锡鸿说的，二十年前梁卓如为了张之洞说的，不料到了今天还要陈庸腐臭的叫吴稚晖为了梁启超、张嘉森说，真算倒棚。

（附注）何以孱杂了得罪梁先生呢？因为张先生的玄学鬼，首先是托梁先生的《欧游心影录》带回的。最近梁先生上了胡适之的恶当，公然把他长兴学舍以前夹在书包里的一篇书目答问摘要，从西山送到清华园，又灾梨祸枣，费了许多报纸杂记的纸张传录了，真可发一笑。"
segment_8bfa51fa23c1517c,Segment,吴稚晖_000_7d60d047_s0004,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0004,,"回的。最近梁先生上了胡适之的恶当，公然把他长兴学舍以前夹在书包里的一篇书目答问摘要，从西山送到清华园，又灾梨祸枣，费了许多报纸杂记的纸张传录了，真可发一笑。

二十年前张之洞、王先谦、李之田之徒，重张、顾、王、戴、段的妖焰（此一时，彼一时，其词若有憾，其实尚可相对许之），暗把曾国藩的制造局主义夭折了，产出了遮丑的西化国粹，如王仁俊一班妖怪《西学古微》等。幸亏有康祖诒要长过素王，才生出一点革命精神。他的徒弟梁启超《时务报》出现，真像哥白尼的太阳中天，方才百妖皆息。当时的西学书目表，虽鄙陋得可以，然在精神上批评，要算光焰万丈，较之今日的书目，尽管面目方雅，可惜祸世殃民，真有一是福音，一多鬼趣之别。他受了胡适之《中国哲学史大纲》的影响，忽发整理国故的兴会，先做什么《清代学术概论》，什么《中国历史研究法》，都还要得；后来许多学术讲演，大半是妖言惑众，什么《先秦政治思想》等，正与《西学古微》等一鼻孔出气。所以他要造文化学院，隐隐说他若死了，国故便没有人整理。我一见便愿他早点死了。照他那样的整理起来，不知要葬送多少青年哩。

我不是敢骂梁先生，我是诚心的劝谏。凡事失诸毫厘，差以千里。不是胡适之的《哲学史大纲》便是好的，梁先生的《先秦政治思想》便是谬的。现今有许多古学整理的著作，我都拜倒。然而或是考订的，或是质疑的，或是最录的，价值都大。惟有借了酒杯，浇着块垒，真叫做下作。"
segment_3ad914721ac0d5f5,Segment,吴稚晖_000_7d60d047_s0005,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0005,,"梁先生的《先秦政治思想》便是谬的。现今有许多古学整理的著作，我都拜倒。然而或是考订的，或是质疑的，或是最录的，价值都大。惟有借了酒杯，浇着块垒，真叫做下作。

胡先生的大纲，杂有一部分浇块垒的话头，虽用意是要革命，也很是危险，容易发生流弊。果然引出了梁漱溟的文化哲学及梁启超的学术讲演。胡先生所发生的一点革命效果，不够他们消灭。他们的谬误，乃是完全摆出《西学古微》的面孔，什么都是我们古代有的，什么我们还要好过别人的，一若进化学理直是狗屁。惟有二千年前天地生才，精华为之殚竭。无论亿万斯年，止要把什么都交给周秦间几个死鬼，请他们永远包办，便万无一失了。你想他如此的向字纸篦里，掏甘蔗渣出来咀嚼，开了曲阜大学，文化学院，遍赠青年，岂不祸世殃民呢？这是梁先生走去那条路上，走得太远了，所以陷入迷魂阵。

我有一天跑到胡先生的书房里，四壁架满了线装书，桌上也堆得东一堆西一叠。他随手把面前的一堆移过，他说你看了是不乐意的。我说这些给你看，我是热烈赞同的。但是我二十年前同陈颂平先生相约不看中国书，直到五四运动之后，我遇见康白情、傅斯年诸位先生，我才悟他们都是饱看书史，力以不空疏为尚。他们不是闹什么新文化，简直是复古。我想时机到了，古学有整理之必要，所以要请章太炎去里昂讲经。去年将国内外的空气细细一检验，我的思想，上了大当，觉得妖雾腾空，竟缩回到《时务报》出世以前。"
segment_a5290345fcc4a05b,Segment,吴稚晖_000_7d60d047_s0006,Segment,吴稚晖_000_7d60d047,吴稚晖_000_7d60d047_s0006,,"直是复古。我想时机到了，古学有整理之必要，所以要请章太炎去里昂讲经。去年将国内外的空气细细一检验，我的思想，上了大当，觉得妖雾腾空，竟缩回到《时务报》出世以前。影响在政界，把什么最热烈的革命党，都化为最腐臭的官僚，简单归罪，可以说是四六电报打出来的。

这国故的臭东西，他本同小老婆吸鸦片相依为命。小老婆吸鸦片，又同升官发财相依为命。国学大盛，政治无不腐败。因为孔、孟、老、墨便是春秋战国乱世的产物。非再把他丢在毛厕里三十年，现今鼓吹成一个干燥无味的物质文明，人家用机关枪打来，我也用机关枪对打，把中国站住了，再整理什么国故，毫不嫌迟。

什么叫做国故？与我们现今的世界有什么相关？他不过是世界一种古董，应保存的罢了。埃及巴比仑的文字，希腊罗马的学术，因明唯识的佛经，周秦汉魏的汉学，是世界上人公共有维护之责的东西，是各国最高学院应该抽几个古董高等学者出来作不断的整理。这如何还可以化青年脑力，作为现世界的教育品呢？亚里士多德之古籍，经流血而掷诸校门以外。希腊拉丁之文，至今逐渐强迫最古董之学院废除。此种彰明皎著的大改革，是世界共认为天经地义的了。梁先生还要开一笔古董账，使中学毕业的学生，挟之而渡重洋，岂非大逆不道？胡适之是拿六经三史做了招牌，实在是要骗他们读《七侠五义》。梁先生上了他的当，竟老实的傻气出来，把青年堆在灰字篦里，梁先生自己睡了想想，也算得上一个笨伯罢？"
