node_id,labels,name,node_type,article_id,segment_id,title,text
article_83400617466fd211,Article,关于玄学科学论战之“战时国际公法”,Article,梁启超_000_da81f70e,,关于玄学科学论战之“战时国际公法”,
author_fb0132bd00a7dab1,Author,梁启超,Author,,,,
article_b37459f297354d42,Article,人生观与科学,Article,梁启超_001_4a5e589a,,人生观与科学,
article_9efb8449110c6d8d,Article,东荪按,Article,梁启超_002_40d1afac,,东荪按,
author_61fbbbacbb4cfd55,Author,张东荪,Author,,,,
segment_cd449e32cc0815cd,Segment,梁启超_000_da81f70e_s0000,Segment,梁启超_000_da81f70e,梁启超_000_da81f70e_s0000,,"—— 暂时局外中立人梁启超宣言

我的挚友丁在君、张君劢因对于人生观的观察点不同，惹起科学玄学问题的论战，现在已开始交锋。听说还有好几位学者都要陆续加入战团。这些人都是我最敬爱的朋友。我自己现在是暂时取“局外中立”态度，但不久也许“参战”，最少亦想自告奋勇充当“公断人”。这个问题是宇宙间最大的问题，这种论战是我国未曾有过的论战。学术界中忽生此壮阔波澜，是极可庆幸的现象。两军主将都是我们耳鬓厮磨的老友，我们尤感觉莫大光荣。我很盼望这回论战能为彻底的讨论，把两造意见发挥尽至。而且希望参战人愈多愈好。因此，我自己当未参战或未公断以前，拟出两条“战时国际公法”先行露布:

第一：我希望问题集中一点，而且针锋相对，剪除枝叶。倘若因一问题引起别问题，宁可别为专篇，更端讨论。

（理由）这问题太大而且太复杂，所牵涉的方面自然不少。但这回论战原是想替我们学界开一新纪元，令青年学子对于这问题得正确深造的了解。倘若“枝辞”太多，眉目不清，不独本问题真相难明，反会助长国人思想笼统之病。所以我希望两造十分注意此点。

至于牵引出来的问题继续讨论，我是极赞成的。我很希望这回论战像欧洲三十年战争百年战争，时日愈久愈好，范围愈大愈好。但又希望攻守两方无论何时都集精力向一个要塞。这个要塞工作做完，才移到别个。不可同时混战，令观战人摸不着头脑。

第二：我希望措词庄重恳挚，万不可有嘲笑或谩骂语。"
segment_ade107179e408380,Segment,梁启超_000_da81f70e_s0001,Segment,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001,,"但又希望攻守两方无论何时都集精力向一个要塞。这个要塞工作做完，才移到别个。不可同时混战，令观战人摸不着头脑。

第二：我希望措词庄重恳挚，万不可有嘲笑或谩骂语。倘若一方面偶然不检，也希望他方面别要效尤。

（理由）在君和君劢交谊不同寻常。他们太相熟了，脱略形迹惯了，每见面必谈，每谈必吵，每吵必极诙谐有意趣。这是我常常亲见而且极爱慕的。他们无论吵到怎么田地，再不会伤私人感情，我是敢下保证的。但“著诸竹帛”的文章，到底和随便剧谈有点不同。况且这回论战题目太重大了，行文更要格外勤恳郑重。否则令人看作游戏文章，便会把原来精神失掉大半。再者，我希望这回论战能做往后学问上乃至其他主义上一切论战之模范。所以“虐谑”、“诡辩”、“愤争”的态度务要划除净尽。

现在两造交绥伊始，像已不免有些越轨的言论。我希望双方都向对造道一番歉，以后万不可再如此。

以上两条“公法”，我希望两位领袖大将和将来的参战人都注意恪守。我自己将来若到参战时，也要勉励自己恪守。谨宣言。

十二年五月五日在翠微山揽翠山房作。

—— 转录《时事新报·学灯》——

---"
segment_abeed83bd4a3418e,Segment,梁启超_001_4a5e589a_s0000,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000,,"对于张丁论战的批评（其一）

### （一）

张君劢在清华学校演说一篇《人生观》，惹起丁在君做了一篇《玄学与科学》和他宣战。我们最亲爱的两位老友，忽然在学界上变成对垒的两造。我不免也见猎心喜，要把我自己意见写点出来助兴了。

当未写以前，要先声叙几句话:

第一：我不是加在那一造去“参战”；也不是想斡旋两造做“调人”；尤其不配充当“国际法庭的公断人”。我不过是一个观战的新闻记者，把所视察得来的战况随手批评一下便了。读者还须知道：我是对于科学、玄学都没有深造研究的人。我所批评的一点不敢自以为是。我两位老友以及其他参战人观战人把我的批评给我一个心折的反驳，我是最欢迎的。

第二：这回战争范围，已经蔓延得很大了，几乎令观战人应接不暇。我为便利起见，打算分项批评。做完这篇之后，打算还跟着做几篇：（一）科学的智识论与所谓“玄学鬼”。（二）科学教育与超科学教育。（三）论战者之态度……等等。但到底作几篇，要看我趣味何如。万一兴尽，也许不作了。

第三：听说有几位朋友都要参战，本来想等读完了各人大文之后再下总批评。但头一件因技痒起来等不得了。第二件，再多看几篇，也许“崔颢题诗”叫我搁笔，不如随意见到那里说到那里。所以这一篇纯是对于张丁两君头一次交绥的文章下批评，他们二次彼此答辩的话，好留待下次。其余陆续参战的文章，我很盼早些出现。或者我也有继续批评的光荣。"
segment_3ea7772373dd8ad6,Segment,梁启超_001_4a5e589a_s0001,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,"那里说到那里。所以这一篇纯是对于张丁两君头一次交绥的文章下批评，他们二次彼此答辩的话，好留待下次。其余陆续参战的文章，我很盼早些出现。或者我也有继续批评的光荣。或者我要说的话被人说去，或者我未写出来的意见已经被人驳倒，那末，我只好不说了。

### （二）

凡辩论先要把辩论对象的内容确定：先公认甲是什么乙是什么，才能说到甲和乙的关系何如。否则一定闹到“驴头不对马嘴”，当局的辩论没有结果，旁观的越发迷惑。我很可惜君劢这篇文章，不过在学校里随便讲演，未曾把“人生观”和“科学”给他一个定义。在君也不过拈起来就驳。究竟他们两位所谓“人生观”所谓“科学”，是否同属一件东西，不惟我们观战人摸不清楚，只怕两边主将也未必能心心相印哩。我为替读者减除这种迷雾起见，拟先规定这两个名词的内容如下:

（一）人类从心界物界两方面调和结合而成的生活，叫做“人生”。我们悬一种理想来完成这种生活，叫做“人生观”。（物界包含自己的肉体及己身以外的人类乃至己身所属之社会等等。）

（二）根据经验的事实分析综合求出一个近真的公例以推论同类事物，这种学问叫做“科学”。（应用科学改变出来的物质或建设出来的机关等等只能谓之“科学的结果”，不能与“科学”本身并为一谈。）

我解释这两个名词的内容，不敢说一定对。假定拿以上所说做个标准，我的答案便如下:

“人生问题，有大部分是可以——而且必要用科学方法来解决的。"
segment_07b36e8d5bfa42f7,Segment,梁启超_001_4a5e589a_s0002,Segment,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,"本身并为一谈。）

我解释这两个名词的内容，不敢说一定对。假定拿以上所说做个标准，我的答案便如下:

“人生问题，有大部分是可以——而且必要用科学方法来解决的。却有一小部分——或者还是最重要的部分是超科学的。”

因此我对于君劢、在君的主张，觉得他们各有偏宕之处。今且先驳君劢。

君劢既未尝高谈“无生”，那么，无论尊重心界生活到若何程度，终不能说生活之为物能够脱离物界而单独存在。既涉到物界，自然为环境上——时间空间——种种法则所支配，断不能如君劢说的那么单纯，专凭所谓“直觉的”、“自由意志的”来片面决定。君劢列举“我对非我”之九项，他以为不能用科学方法解答者，依我看来什有八九倒是要用科学方法解答。他说“忽君主忽民主，忽自由贸易忽保护贸易……等等，试问论理学公例何者能证其合不合乎？”其意以为这类问题既不能骤然下一个笼统普遍的断案，便算屏逐在科学范围以外。殊不知科学所推寻之公例乃是：（一）在某种条件之下，会发生某种现象。（二）欲变更某种现象，当用某种条件。笼统普遍的断案，无论其不能，即能，亦断非科学之所许。若仿照君劢的论调，也可以说：“忽衣裘忽衣葛，忽附子玉桂忽大黄芒硝……试问论理学公例何者能证其合不合乎？”然则连衣服饮食都无一定公例可以支配了，天下有这种理吗？殊不知科学之职务不在绝对的普遍的证明衣裘衣葛之孰为合孰为不合，他却能证明某种体气的人在某种温度之下非衣裘或衣葛不可。"
