node_id,labels,name,node_type,article_id,segment_id,title,text
article_5a3e9f318898b03f,Article,科学与人生观,Article,王星拱_000_4d6fdc04,,科学与人生观,
author_26b783b382197209,Author,王星拱,Author,,,,
segment_9ca4ea06f58891d8,Segment,王星拱_000_4d6fdc04_s0000,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0000,,"张君劢先生和丁在君先生为了这个问题，打了一个月的恶战，并且引起许多人加入战团，于是战线因之而延长，战地亦因之而扩大，所争论的问题，愈弄愈复杂了。一直到了旧历的端阳佳节，还没有打得一个决定的结果出来，或者纵令打到无限年的端阳佳节，也不能有一个决定的结果出来！我早已也想摇旗呐喊，加入拥护科学的战团；但是因授课过于忙碌，没有做到这一层。今天因为傅佩青先生找我来讲演，我于是抽出若干的时间，把我自己的意思，组织成一个局部的系统，写一篇出来。我这一次的加入战团，固然不敢比较美国的对德宣战，把德国打到落花流水，然而却希望可以比较中国的对德宣战，仅仅发出一篇宣言，而能处理中德邦交之局部问题。

这个问题中有两个名词，一是“科学”，二是“人生观”。我们先把这两个名词的意义确定下来，然后来讨论它俩有无关系及其关系若何。科学有两个意义：一是广义的，一是狭义的。广义的科学是：凡由科学方法制造出来的，都是科学。这句话有一些人不承认。他们说：“科学之所以成为科学者，以其内容，非以其方法也。”他们的意思似乎是：科学方法是形式的逻辑，这个形式的逻辑，宗教中也用它，小说中也用它，难道宗教小说都可以叫做科学吗?(见张东荪先生的《劳而无功》论文。）这实在是误解科学方法。科学方法不是形式的逻辑，其中有许多精密严毅的手续。所谓精密者，是层层不漏空；所谓严毅者，是不以感情而定去取。宗教家小说家实在没有过这个方法，而"
segment_e85294555d058ec5,Segment,王星拱_000_4d6fdc04_s0001,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0001,,"误解科学方法。科学方法不是形式的逻辑，其中有许多精密严毅的手续。所谓精密者，是层层不漏空；所谓严毅者，是不以感情而定去取。宗教家小说家实在没有过这个方法，而

且他们无须用这个方法，或者他们简直不能用这个方法，若用这个方法，那就不成其为宗教、小说了。狭义的科学，是指数学、物理学、化学、生物学、地质学等等，现在已经为普通“街上人”所承认为科学的。这些科学，萌芽于希腊，重生于文艺复兴时代，昌明于十八世纪之后。我现在姑就这个狭义的科学来立论。

人生观这个名词，因为历史上之沿袭，也有两种不同的意义：一是生命之观念 (Conception of life),二是生活之态度 (Mood of living）。这个生活，是就普通术语中所谓精神生活而言。依科学去解释生命问题，应该叫做“人生之科学观”和依科学去解释宇宙问题，应该叫做“宇宙之科学观”一样。对于生命这个问题，科学独有科学的解决方法。其解决之圆满不圆满，和大家之赞同不赞同，那是另外一个问题。纵令科学能够解决得圆满，也不能得大家全体赞同。科学家说：地绕日而行，宗教家一定要说日绕地而行，那有什么办法呢！依科学态度而整理思想，构造意见，以至于身体力行，可以叫做“科学的人生观”。科学家的态度，与宗教家及美术家的态度实在是不同的。现在我也要从这两个意义上面，略为讨论一番。

我们把这两个名词的界说陈述明白了，我们再来讨论科学是否能应用于人生观？"
segment_129aeb0a3e3c94d5,Segment,王星拱_000_4d6fdc04_s0002,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002,,"的态度，与宗教家及美术家的态度实在是不同的。现在我也要从这两个意义上面，略为讨论一番。

我们把这两个名词的界说陈述明白了，我们再来讨论科学是否能应用于人生观？换一句话说：科学是否能够应用以解决人生问题？我们要想讨论这个问题，必须先看科学所凭藉以构造起来的是些什么?

科学所凭藉以构造起来的，有两个原理:(一）是因果之原理（Causality),(二）是齐一之原理（Uniformity）。

因果之原理是说：宇宙中之各种现象，必定有因果的关系，没有无因而至的，也没有不生效果的。这个原理里边，包含着可分之原理（Divisibility）或多元之原理（Pluralism）。因为辨别出来何者为因，何者为果，那已经把宇宙分成零零碎碎的

块片了。有些哲学家以为宇宙是不可分的，故对于这个原理，极端反对。姑举一例而言：布拉德烈（Bradley）说：我不懂得何以糖是甜的？把他的意思引伸出来，是：糖是一件东西，甜是一件东西，这两件东西如何发生关系起来？依因果之原理来讲：因为糖中有糖质，所以糖是甜的。但是这里又要发生两个问题：一是何以糖中有糖质？二是何以糖质是甜的？再往下追寻可以至于无限，而糖与甜两个的因果关系，永远接续不起来。所以他的结论是：“原来就没有糖是甜的这样一回事。”庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。"
segment_a0ed62ef2a712d1f,Segment,王星拱_000_4d6fdc04_s0003,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0003,,"系，永远接续不起来。所以他的结论是：“原来就没有糖是甜的这样一回事。”庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。科学以为宇宙是可分的，德毛克里脱司（Democritus）所讲的原子，几何学中所讲的点，莱柏氏所讲的单子（Monad),力学所讲的力线，物理学所讲的电子量子，化学所讲的分子原子，生物学所讲的单位性质，都是在宇宙可分之原理上立论。固然，拿时间空间物质或其他存体逐渐分析，是无限的，然而无限无碍于分析，这是算学中群论所发见的。凡我们经验所分得到的，总是有限的，但是又可以用理智分至无限。无限之外可以有有限，例如○与一之间，有无限的分数，然而一却是有限的整数。若是宇宙是一个混沌圆软的东西，那么科学就不能成立了。

齐一之原理是说：同因必生同果。假使没有这个原理，则宇宙之间只有千千万万一点一滴的事实，我们很难寻觅因果关系出来，那么，科学也无从构造了。历史告诉我们：科学可以从许多现象上看出同点，而把这些同点综合起来，就成为定律。有一些哲学家也极力的想方法去推翻这个原理。然而比推翻因果原理，却还要困难得多。其中最时髦最有力的论调，就是柏格森的创化。他的意思是：宇宙间所有过去的现象，都是现在现象发生的原因；套佛家一句话来说，就是所有过去都成现在。但是宇宙间所有过去的现象之共总，是时时刻刻不同的,

所以宇宙间永远没有同因的现象。"
segment_fca660f1e8fd9a88,Segment,王星拱_000_4d6fdc04_s0004,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0004,,"过去的现象，都是现在现象发生的原因；套佛家一句话来说，就是所有过去都成现在。但是宇宙间所有过去的现象之共总，是时时刻刻不同的,

所以宇宙间永远没有同因的现象。既没有同因的现象，那里能有因果的现象呢！那么，同因必生同果，不过是一句便利的虚诞。然而科学的意见，却不与此相同，试为叙述于下:

一件东西的性质，可以从两方面看待：一从个体方面看待，是为个体的性质；二从类的方面看待，是为类的性质。个体的性质，是一件东西所有无限的性质；把这些无限的性质集合起来，就是这一件东西——物。类的性质，是一类中之分子所共有的若干性质，把这些共有的性质集合起来，就是类。科学的定律，是建筑在类的性质上面的。

类的性质，可以分为两种:(一）是一类中之分子必有的性质;(二）是一类中之分子性质之平均代表。形式逻辑与数学中之类的性质，都归第一种，例如凡甲皆归甲类，凡非甲皆归非甲类；凡是单独的（不一定是物质）都归“一”类，凡是成双的都归“二”类，凡是没有的都归零类，凡是无限的都归无限类。但是在沾滞物质的科学之中，类之性质都归第二种，——都是平均代表，却可以有例外。在社会学中，固然是如此，在生物学中也是如此，即在物理学化学中也是如此。这种平均代表的类的性质，又有二种：一是定性的平均代表，例如凡物受热则膨胀，是物类之类的性质，然而水在零度四度之间，受热则反收缩，有一种镍渗金，受热亦不膨胀，受冷亦不收缩。"
segment_3d9f32d74b2ede0d,Segment,王星拱_000_4d6fdc04_s0005,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0005,,"表的类的性质，又有二种：一是定性的平均代表，例如凡物受热则膨胀，是物类之类的性质，然而水在零度四度之间，受热则反收缩，有一种镍渗金，受热亦不膨胀，受冷亦不收缩。能言为人类之类的性质，然而人类中却也有哑巴子。一是定量的平均代表，例如五尺半高，为人类之类的性质。然而严格测量起来，恐怕没有人恰恰是五尺半高。有许多人对于从平均代表上构造起来的定律，大加攻击，而以对于定量的平均代表为尤甚，他们的意思以为：各人有各人的高度，五尺半不过是一个平均代表，代表不是本身，所以没有真实之价值。岂不见现在的国会议员吗？他们倒是代表，但是这些代表的意见，可是真实的国民意见呢？我也承认这个攻击，不是无理取闹。二千年前亚里士多德，也

曾看出这个困难，他想用最终法式的观念来免除它。他说：一个人无论多高，都有倾往于五尺半高——最终法式——的趋向。依我看来，这倒可以不必。这个类的性质，惟其因为它们能够代表类中分子的性质，所以它们也是真实的，从它们上面构造起来的定律，也当然是真实的。倘若从国民中抽出的议员，真正能做国民的平均代表，他们的意见，岂不是真实的民意吗？这不过是一个比喻，严重的讨论，还要归到平均代表之类的性质之问题。

定性之平均代表的类的性质，就是各分子之个体的性质之一部分。个体的性质，既是真实的，这个类之性质自然也是真实的。"
segment_bfb5dff8da13bb6a,Segment,王星拱_000_4d6fdc04_s0006,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0006,,"严重的讨论，还要归到平均代表之类的性质之问题。

定性之平均代表的类的性质，就是各分子之个体的性质之一部分。个体的性质，既是真实的，这个类之性质自然也是真实的。一个特别的物之个体的性质多得很，例如颜色坚度，……而受热则膨胀，也是这些个体的性质之一端，但是这个“受热则膨胀”的性质是所有的物所共有的，至少也是多数的物所共有的。我们把各物之不同的性质——如颜色坚度——放在一边，而把各物之共有的性质——受热则膨胀——单提出来，为类之性质，这有什么稀罕呢!

至于定量的平均代表的类的性质，也是真实的。在生物界中，一个生物之个体性质，参差不齐，这是事实，我们不能不承认。然而一类中各分子的性质，总有一个类的平均 (Race average）。这也是我们不得不承认的事实。一类中各分子的性质之分量，也许没有一个恰恰和这平均代表相符，但是也许有多数是恰恰和这平均代表相符的。足见个体之性质即为类之性质，并不是不可能的。例如一群人中，也许没有一个恰恰是五尺半高，但是也许有许多人恰恰是五尺半高。若是一群人中没有一个恰恰是五尺半高，而我们仍可用五尺半来做平均代表。这是因为宇宙是可分的；——因为五尺二，五尺三，五尺四，五尺六，五尺七，五尺八，……和五尺半都是理智截分宇宙的数目；五尺二……五尺八，既是可有的，五尺半自然也是可有的，并没有如

攻击者所说的那么与真实不符。"
segment_64affdbbce39e1e2,Segment,王星拱_000_4d6fdc04_s0007,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0007,,"五尺四，五尺六，五尺七，五尺八，……和五尺半都是理智截分宇宙的数目；五尺二……五尺八，既是可有的，五尺半自然也是可有的，并没有如

攻击者所说的那么与真实不符。在无机界中，各原子各电子之温度速率……等等分量，固然是不同的，然而却是不同到“奇怪”的地步，而可以为一个平均数所代表。这样的事实，即朋加烈所说的无秩序之秩序。我们在力学中用它，在电磁学中用它，在气动说中也用它，并不是在客观方面无所凭藉，而随意建设起来的。这些定量的平均代表，论他们的价值，固然是真实的，因为它们可以利便思想推测之进行。即论他们的本质，也是真实的。不过它们的真实和感触所得的，不是完全一样的。我们承认：在感触的世界之外，另外有一个世界，罗素把它叫做形式的世界，皮尔逊把它叫做概念的世界。他俩的意思固然不同（例如罗素的形式的世界不是有描写的作用的，皮尔逊的概念的世界，是有描写的作用的）。然而有一点却相同，就是这个非感触的世界，是由感触的世界构造起来的，而且这个非感触的世界之行动，是绝对底有规则的。这一点却与玄学家所主张的超物质的自由的玄学的世界，大不相同。所以罗素说：从物之个体的性质，抽出类之性质，是抽象之原理，也可以叫废除抽象之原理（因为不是抽出一个空的东西出来）。皮尔逊说：概念的世界是用感触世界建筑起来的。

现在我们就用皮尔逊的名词：概念的世界，来陈述我们的意见。"
