node_id,labels,name,node_type,article_id,segment_id,title,text
article_d82039bbfdbc04ff,Article,序二,Article,胡适_000_993249d7,,序二,
author_023c0b2fb5e619dc,Author,胡适,Author,,,,
article_4028c75a89d734a1,Article,附注 答陈独秀先生,Article,胡适_001_295ca4dc,,附注 答陈独秀先生,
article_d08ca211e37e9495,Article,孙行者与张君劢,Article,胡适_002_c6a0c3b5,,孙行者与张君劢,
segment_0a12820d483f75a5,Segment,胡适_000_993249d7_s0000,Segment,胡适_000_993249d7,胡适_000_993249d7_s0000,,"亚东图书馆主人汪孟邹先生近来把散见国内各种杂志上的讨论科学与人生观的文章搜集印行，总名为“科学与人生观”。我从烟霞洞回到上海时，这部书已印了一大半了。孟邹要我做一篇序。我觉得，在这回空前的思想界大笔战的战场上，我要算一个逃兵了。我在本年三四月间，因为病体未复原，曾想把《努力周报》停刊；当时丁在君先生极不赞成停刊之议，他自己做了几篇长文，使我好往南方休息一会。我看了他的《玄学与科学》，心里很高兴，曾对他说，假使《努力》以后向这个新方向去谋发展——假使我们以后为科学作战——《努力》便有了新生命，我们也有了新兴趣，我从南方回来，一定也要加入战斗的。然而我来南方以后，一病就费去了六个多月的时间，在病中我只做了一篇很不庄重的《孙行者与张君劢》，此外竟不曾加入一拳一脚，岂不成了一个逃兵了。我如何敢以逃兵的资格来议论战场上各位武士的成绩呢？

但我下山以后，得遍读这次论战的各方面的文章，究竟忍不住心痒手痒，究竟不能不说几句话。一来呢，因为论战的材料太多，看这部大书的人不免有“目迷五色”的感觉，多作一篇综合的序论也许可以帮助读者对于论点的了解。二来呢，有几个重要的争点，或者不曾充分发挥，或者被埋没在这二十五万字的大海里，不容易引起读者的注意，似乎都有特别点出的需要。因此，我就大胆地作这篇序了。

### （一）

这三十年来，有一个名词在国内几乎做到了无上尊严的地位；"
segment_d3301da546d7afbb,Segment,胡适_000_993249d7_s0001,Segment,胡适_000_993249d7,胡适_000_993249d7_s0001,,"的大海里，不容易引起读者的注意，似乎都有特别点出的需要。因此，我就大胆地作这篇序了。

### （一）

这三十年来，有一个名词在国内几乎做到了无上尊严的地位；无论懂与不懂的人，无论守旧和维新的人，都不敢公然对他表示轻视或戏侮的态度。那个名词就是“科学”。这样几乎全国一致的崇信，究竟有无价值，那是另一问题。我们至少可以说，自从中国讲变法维新以来，没有一个自命为新人物的人敢公然毁谤“科学”的。直到民国八九年间梁任公先生发表他的《欧游心影录》，“科学”方才在中国文字里正式受了“破产”的宣告。梁先生说：

“……要而言之，近代人因科学发达，生出工业革命，外部生活变迁急剧，内部生活随而动摇，这是很容易看得出的。……依着科学家的新心理学，所谓人类心灵这件东西，就不过物质运动现象之一种。……这些唯物派的哲学家，托庇科学宇下建立一种纯物质的纯机械的人生观，把一切内部生活外部生活都归到物质运动的‘必然法则’之下。……不惟如此，他们把心理和精神看成一物，根据实验心理学，硬说人类精神也不过一种物质，一样受‘必然法则’所支配。于是人类的自由意志不得不否认了。意志既不能自由，还有什么善恶的责任？……现今思想界最大的危机就在这一点。宗教和旧哲学既已被科学打得个旗靡帜乱，这位‘科学先生’便自当仁不让起来，要凭他的试验发明个宇宙新大原理。"
segment_0e9c87b58cbac677,Segment,胡适_000_993249d7_s0002,Segment,胡适_000_993249d7,胡适_000_993249d7_s0002,,"还有什么善恶的责任？……现今思想界最大的危机就在这一点。宗教和旧哲学既已被科学打得个旗靡帜乱，这位‘科学先生’便自当仁不让起来，要凭他的试验发明个宇宙新大原理。却是那大原理且不消说，敢是各科的小原理也是日新月异，今日认为真理，明日已成谬见。新权威到底树立不来，旧权威却是不可恢复了。所以全社会人心，都陷入怀疑沉闷畏惧之中，好像失了罗针的海船遇着风雾，不知前途怎生是好。既然如此，所以那些什么乐利主义强权主义越发得势。死后既没有天堂，只好尽这几十年尽情地快活。善恶既没有责任，何妨尽我的手段来充满我个人欲望。然而享用的物质增加速率，总不能和欲望的升腾同一比例，而且没有法子令他均衡。怎么好呢？只有凭自己的力量自由竞争起来，质而言之，就是弱肉强食。近年来什么军阀，什么财阀，都是从这条路产生出来。这回大战争，便是一个报应。……

总之，在这种人生观底下，那么千千万万人前脚接后脚的来这世界走一趟住几十年，干什么呢？独一无二的目的就是抢面包吃。不然就是怕那宇宙间物质运动的大轮子缺了发动力，特自来供给他燃料。果真这样，人生还有一毫意味，人类还有一毫价值吗？无奈当科学全盛时代，那主要的思潮，却是偏在这方面，当时讴歌科学万能的人，满望着科学成功，黄金世界便指日出现。如今功总算成了，一百年物质的进步，比从前三千年所得还加几倍。我们人类不惟没有得着幸福，倒反带来许多灾难。"
segment_ae3344357ad0a61a,Segment,胡适_000_993249d7_s0003,Segment,胡适_000_993249d7,胡适_000_993249d7_s0003,,"时讴歌科学万能的人，满望着科学成功，黄金世界便指日出现。如今功总算成了，一百年物质的进步，比从前三千年所得还加几倍。我们人类不惟没有得着幸福，倒反带来许多灾难。好像沙漠中失路的旅人，远远望见个大黑影，拼命往前赶，以为可以靠他向导，那知赶上几程，影子却不见了，因此无限悽惶失望。影子是谁，就是这位‘科学先生’。欧洲人做了一场科学万能的大梦，到如今却叫起科学破产来。”（《梁任公近著》第一辑上卷，页一九一二三）

梁先生在这段文章里很动情感地指出科学家的人生观的流毒：他很明显地控告那“纯物质的纯机械的人生观”把欧洲全社会“都陷入怀疑沉闷畏惧之中”，养成“弱肉强食”的现状，——“这回大战争，便是一个报应”。他很明白地控告这种科学家的人生观造成“抢面包吃”的社会，使人生没有一毫意味，使人类没有一毫价值，没有给人类带来幸福，“倒反带来许多灾难”，叫人类“无限悽惶失望”。梁先生要说的是欧洲“科学破产”的喊声，而他举出的却是科学家的人生观的罪状；梁先生掇拾了一些玄学家诬蔑科学人生观的话头，便加上了“科学破产”的恶名。

梁先生后来在这一段之后，加上两行自注道：

> 读者切勿误会，因此菲薄科学，我绝不承认科学破产，不过也不承认科学万能罢了。

然而谣言这件东西，就同野火一样，是易放而难收的。自从《欧游心影录》发表之后，科学在中国的尊严就远不如前了。"
segment_ece9cec516c78d3b,Segment,胡适_000_993249d7_s0004,Segment,胡适_000_993249d7,胡适_000_993249d7_s0004,,"学，我绝不承认科学破产，不过也不承认科学万能罢了。

然而谣言这件东西，就同野火一样，是易放而难收的。自从《欧游心影录》发表之后，科学在中国的尊严就远不如前了。一般不曾出国门的老先生很高兴地喊着：“欧洲科学破产了！梁任公这样说的。”我们不能说梁先生的话和近年同善社、悟善社的风行有什么直接的关系；但我们不能不说梁先生的话在国内确曾替反科学的势力助长不少的威风。梁先生的声望，梁先生那枝“笔锋常带情感”的健笔，都能使他的读者容易感受他的言论的影响。何况国中还有张君劢先生一流人，打着柏格森、倭伊铿、欧立克……的旗号，继续起来替梁先生推波助澜呢？

我们要知道，欧洲的科学已到了根深蒂固的地位，不怕玄学鬼来攻击了。几个反动的哲学家，平素饱餍了科学的滋味，偶尔对科学发几句牢骚话，就像富贵人家吃厌了鱼肉，常想尝尝咸菜豆腐的风味，这种反动并没有什么大危险。那光焰万丈的科学，决不是这几个玄学鬼摇撼得动的。一到中国，便不同了。中国此时还不曾享着科学的赐福，更谈不到科学带来的“灾难”。我们试睁开眼看看：这遍地的乱坛道院，这遍地的仙方鬼照相，这样不发达的交通，这样不发达的实业，——我们那里配排斥科学？至于“人生观”，我们只有做官发财的人生观，只有靠天吃饭的人生观，只有求神问卜的人生观，只有《安士全书》的人生观，只有《太上感应篇》的人生观，——中国人的人生观还不曾和科学行见面礼呢！"
segment_d3dab4082b848881,Segment,胡适_000_993249d7_s0005,Segment,胡适_000_993249d7,胡适_000_993249d7_s0005,,"有做官发财的人生观，只有靠天吃饭的人生观，只有求神问卜的人生观，只有《安士全书》的人生观，只有《太上感应篇》的人生观，——中国人的人生观还不曾和科学行见面礼呢！我们当这个时候，正苦科学的提倡不够，正苦科学的教育不发达，正苦科学的势力还不能扫除那迷漫全国的乌烟瘴气，——不料还有名流学者出来高唱“欧洲科学破产”的喊声，出来把欧洲文化破产的罪名归到科学身上，出来菲薄科学，历数科学家的人生观的罪状，不要科学在人生观上发生影响！信仰科学的人看了这种现状，能不发愁吗？能不大声疾呼出来替科学辩护吗？

这便是这一次“科学与人生观”的大论战所以发生的动机。明白了这个动机，我们方才可以明白这次大论战在中国思想史上占的地位。

### （二）

张君劢的《人生观》原文的大旨是：

> 人生观之特点所在，曰主观的，曰直觉的，曰综合的，曰自由意志的，曰单一性的。惟其有此五点，故科学无论如何发达，而人生观问题之解决，决非科学所能为力，惟赖诸人类之自身而已。

君劢叙述那五个特点时，处处排斥科学，处处用一种不可捉摸的语言——“是非各执，绝不能施以一种试验”，“无所谓定义，无所谓方法，皆其身良心之所命起而主张之”，“若强为分析，则必失其真义”，“皆出于良心之自动，而决非有使之然者”。这样一个大论战，却用一篇处处不可捉摸的论文作起点，这是一件大不幸的事。因为原文处处不可捉摸，故驳论与反驳都容易跳出本题。"
segment_c105080dbeac7534,Segment,胡适_000_993249d7_s0006,Segment,胡适_000_993249d7,胡适_000_993249d7_s0006,,"“皆出于良心之自动，而决非有使之然者”。这样一个大论战，却用一篇处处不可捉摸的论文作起点，这是一件大不幸的事。因为原文处处不可捉摸，故驳论与反驳都容易跳出本题。战线延长之后，战争的本意反不很明白了。（我常想，假如当日我们用了梁任公先生的“科学万能之梦”一篇作讨论的基础，我们定可以使这次论争的旗帜格外鲜明，——至少可以免去许多无谓的纷争。）我们为读者计，不能不把这回论战的主要问题重说一遍。

君劢的要点是“人生观问题之解决，决非科学所能为力。”我们要答复他，似乎应该先说明科学应用到人生观问题上去，曾产生什么样子的人生观；这就是说，我们应该先叙述“科学的人生观”是什么，然后讨论这种人生观是否可以成立，是否可以解决人生观的问题，是否像梁先生说的那样贻祸欧洲，流毒人类。我总观这二十五万字的讨论，终觉得这一次为科学作战的人——除了吴稚晖先生——都有一个共同的错误，就是不曾具体地说明科学的人生观是什么，却去抽象地力争科学可以解决人生观的问题。这个共同错误的原因，约有两种：第一，张君劢的导火线的文章内并不曾像梁任公那样明白指斥科学家的人生观，只是笼统地说科学对于人生观问题不能为力。因此，驳论与反驳论的文章也都走上那可能与不可能的笼统讨论上去了。例如丁在君的《玄学与科学》的主要部分只是要证明：

> “凡是心理的内容，真的概念推论，无一不是科学的材料。”"
segment_018159a7d5223100,Segment,胡适_000_993249d7_s0007,Segment,胡适_000_993249d7,胡适_000_993249d7_s0007,,"的文章也都走上那可能与不可能的笼统讨论上去了。例如丁在君的《玄学与科学》的主要部分只是要证明：

> “凡是心理的内容，真的概念推论，无一不是科学的材料。”

然而他却始终没有说出什么是“科学的人生观”。从此以后，许多参战的学者都错在这一点上。如张君劢《再论人生观与科学》只主张：

> “人生观超于科学以上”，“科学决不能支配人生。”

如梁任公的《人生观与科学》只说：

> “人生关涉理智方面的事项，绝对要用科学方法来解决，关于情感方面的事项，绝对的超科学。”

如林宰平的《读丁在君先生的玄学与科学》只是一面承认“科学的方法有益于人生观”，一面又反对科学包办或管理“这个最古怪的东西”——人类。如丁在君答张君劢也只是说明：

> “这种（科学）方法，无论用在知识界的那一部分，都有相当的成绩，所以我们对于知识的信用，比对于没有方法的情感要好；凡有情感的冲动都要想用知识来指导他，使他发展的程度提高，发展的方向得当。”

如唐钺《心理现象与因果律》只证明：

> “一切心理现象都是有因的。”

他的《一个痴人的说梦》只证明：

> “关于情感的事项，要就我们的知识所及，尽量用科学方法来解决的。”

王抚五的《科学与人生观》也只是说：

> “科学是凭藉‘因果’和‘齐一’两个原理而构造起来的；人生问题无论为生命之观念，或生活之态度，都不能逃出这两个原理的金刚圈，所以科学可以解决人生问题。"
segment_aa1a06c3e1784e53,Segment,胡适_000_993249d7_s0008,Segment,胡适_000_993249d7,胡适_000_993249d7_s0008,,"说：

> “科学是凭藉‘因果’和‘齐一’两个原理而构造起来的；人生问题无论为生命之观念，或生活之态度，都不能逃出这两个原理的金刚圈，所以科学可以解决人生问题。”

直到最后范寿康的《评所谓科学与玄学之争》，也只是说：

> “伦理规范——人生观——一部分是先天的，一部分是后天的。先天的形式是由主观的直觉而得，决不是科学所能干涉。后天的内容应由科学的方法探讨而定，决不是主观所应妄定。”

综观以上各位的讨论，人人都在那里笼统地讨论科学能不能解决人生问题或人生观问题。几乎没有一个人明白指出，假使我们把科学适用到人生观上去，应该产生什么样子的人生观。然而这个共同的错误大都是因为君劢的原文不曾明白攻击科学家的人生观，却只悬空武断科学决不能解决人生观问题。殊不知，我们若不先明白科学应用到人生观上去时发生的结果，我们如何能悬空评判科学能不能解决人生观呢？

这个共同的错误——大家规避“科学的人生观是什么”的问题——怕还有第二个原因，就是一班拥护科学的人虽然抽象地承认科学可以解决人生问题，却终不愿公然承认那具体的“纯物质，纯机械的人生观”为科学的人生观。我说他们“不愿”，并不是说他们怯懦不敢，只是说他们对于那科学家的人生观还不能像吴稚晖先生那样明显坚决的信仰，所以还不能公然出来主张。这一点确是这一次大论争的一个绝大的弱点。"
segment_8fedb10f69e10004,Segment,胡适_000_993249d7_s0009,Segment,胡适_000_993249d7,胡适_000_993249d7_s0009,,"愿”，并不是说他们怯懦不敢，只是说他们对于那科学家的人生观还不能像吴稚晖先生那样明显坚决的信仰，所以还不能公然出来主张。这一点确是这一次大论争的一个绝大的弱点。若没有吴老先生把他的“漆黑一团”的宇宙观和“人欲横流”的人生观提出来做个押阵大将，这一场大战争真成了一场混战，只闹得个一哄散场！

关于这一点，陈独秀先生的序里也有一段话，对于作战的先锋大将丁在君先生表示不满意。独秀说：

> “他（丁先生）自号存疑的唯心论，这是沿袭了赫胥黎、斯宾塞诸人的谬误；你既承认宇宙间有不可知的部分而存疑，科学家站开，且让玄学家来解疑。此所以张君劢说，‘既已存疑，则研究形而上界之玄学，不应有丑诋之词’。其实我们对于未发见的物质固然可以存疑，而对于超物质而独立存在并且可以支配物质的什么心（心即是物之一种表现），什么神灵与上帝，我们已无疑可存了。说我们武断也好，说我们专制也好，若无证据给我们看，我们断然不能抛弃我们的信仰。”

关于存疑主义的积极的精神，在君自己也曾有明白的声明。（《答张君劢》，页二一一二三。“拿证据来！”一句话确然是有积极精神的。但赫胥黎等在当用这种武器时，究竟还只是消极的防御居多。在十九世纪的英国，在那宗教的权威不曾打破的时代，明明是无神论者也不得不挂一个“存疑”的招牌。"
segment_8a54987e2067b611,Segment,胡适_000_993249d7_s0010,Segment,胡适_000_993249d7,胡适_000_993249d7_s0010,,"有积极精神的。但赫胥黎等在当用这种武器时，究竟还只是消极的防御居多。在十九世纪的英国，在那宗教的权威不曾打破的时代，明明是无神论者也不得不挂一个“存疑”的招牌。但在今日的中国，在宗教信仰向来比较自由的中国，我们如果深信现有的科学证据只能叫我们否认上帝的存在和灵魂的不灭，那么，我们正不妨老实自居为“无神论者”。这样的自称并不算是武断，因为我们的信仰是根据于证据的。等到有神论的证据充足时，我们再改信有神论，也还不迟。我们在这个时候，既不能相信那没有充分证据的有神论，心灵不灭论，天人感应论，……又不肯积极地主张那自然主义的宇宙观，唯物的人生观，……怪不得独秀要说“科学家站开！且让玄学家来解疑”了。吴稚晖先生便不然。他老先生宁可冒“玄学鬼”的恶名，偏要冲到那“不可知的区域”里去打一阵。他希望“那不可知区域里的假设，责成玄学鬼也带着论理色采去做设着”。（《宇宙观及人生观》，页九。）这个态度是对的。我们信仰科学的人，正不妨也做一番大规模的假设。只要我们的假设处处建筑在已知的事实之上，只要我们认我们的建筑不过是一种最满意的假设，可以跟着新证据修正的，——我们带着这种科学的态度，不妨冲进那不可知的区域里，正如姜子牙展开了杏黄旗，也不妨冲进十绝阵里去试试。

### （三）

我在上文说的，并不是有意挑剔这一次论战场上的各位武士。"
segment_9cc6b843cdc32ea2,Segment,胡适_000_993249d7_s0011,Segment,胡适_000_993249d7,胡适_000_993249d7_s0011,,"的态度，不妨冲进那不可知的区域里，正如姜子牙展开了杏黄旗，也不妨冲进十绝阵里去试试。

### （三）

我在上文说的，并不是有意挑剔这一次论战场上的各位武士。我的意思只是要说，这一篇论战的文章只做了一个“破题”，还不曾做到“起讲”。至于“余兴”与“尾声”，更谈不到了。破题的工夫，自然是很重要的。丁在君先生的发难，唐钺先生等的响应，六个月的时间，二十五万字的煌煌大文，大吹大擂地把这个大问题捧了出来，叫乌烟瘴气的中国知道这个大问题的重要，——这件功劳真不在小处！

可是现在真有做“起讲”的必要了。吴稚晖先生的《一个新信仰的宇宙观及人生观》已给我们做下一个好榜样。在这篇“科学与人生观”的“起讲”里，我们应该积极地提出什么叫做“科学的人生观”，应该提出我们所谓“科学的人生观”，好教将来的讨论有个具体的争点。否则你单说科学能解决人生观，他单说不能，势必至于吴稚晖先生说的“张丁之战，便延长了一百年，也不会得到究竟”。因为若不先有一种具体的科学人生观作讨论的底子，今日泛泛地承认科学有解决人生观的可能，是没有用的。等到那“科学的人生观”的具体内容拿出来时，战线上的组合也许要起一个太大的变化。我的朋友朱经农先生是信仰科学“前程不可限量”的，然而他定不能承认无神论是科学的人生观。我的朋友林宰平先生是反对科学包办人生观的，然而我想他一定可以很明白地否认上帝的存在。"
segment_3b12254b38d499d4,Segment,胡适_000_993249d7_s0012,Segment,胡适_000_993249d7,胡适_000_993249d7_s0012,,"经农先生是信仰科学“前程不可限量”的，然而他定不能承认无神论是科学的人生观。我的朋友林宰平先生是反对科学包办人生观的，然而我想他一定可以很明白地否认上帝的存在。到了那个具体讨论的时期，我们才可以说是真正开战。那时的反对，才是真反对。那时的赞成，才是真赞成。那时的胜利，才是真胜利。

我还要再进一步说：拥护科学的先生们，你们虽要想规避那“科学的人生观是什么”的讨论，你们终于免不了的。因为他们早已正式对科学的人生观宣战了。梁任公先生的“科学万能之梦”，早已明白攻击那“纯物质的，纯机械的人生观”了。他早已把欧洲大战祸的责任加到那“科学家的新心理学”上去了。张君劢先生在《再论人生观与科学》里，也很笼统地攻击“机械主义”了。他早已说“关于人生之解释与内心之修养，当然以唯心派之言为长了。科学家究竟何去何从？这时候正是科学家表明态度的时候了。”

因此，我们十分诚恳地对吴稚晖先生表示敬意，因为他老先生在这个时候很大胆地把他信仰的宇宙观和人生观提出来，很老实地宣布他的“漆黑一团”的宇宙观和“人欲横流”的人生观。他在那篇大文章里，很明白地宣言：

> “那种骇得煞人的显赫的名词，上帝呀，神呀，还是取消了好。”（页十二）

很明白地：

> “开除了上帝的名额，放逐了精神元素的灵魂。”（页二九）

很大胆地宣言：

> “我以为动植物且本无感觉，皆止有其质力交推，有其辐射反应，如是而已。"
segment_abf8785c5b426a56,Segment,胡适_000_993249d7_s0013,Segment,胡适_000_993249d7,胡适_000_993249d7_s0013,,"地：

> “开除了上帝的名额，放逐了精神元素的灵魂。”（页二九）

很大胆地宣言：

> “我以为动植物且本无感觉，皆止有其质力交推，有其辐射反应，如是而已。譬之于人，其质构而为如是之神经系，即其力生如是之反应。所谓情感、思想、意志等等，就种种反应而强为之名，美其名曰心理，神其事曰灵魂，质直言之曰感觉，其实统不过质力之相应。”（页二二一二三）

他在《人生观》里，很“恭敬地又好像滑稽地”说：

> “人便是外面止剩两只脚，却得到了两只手，内面有三斤二两脑髓，五千零四十八根脑筋，比较占有多额神经系质的动物。”（页三九）

> “生者，演之谓也，如是云尔。”（页四十）

> “所谓人生，便是用手用脑的一种动物，轮到‘宇宙大剧场’的第亿垓八京六兆五万七千幕，正在那里出台演唱。”（页四七）

他老先生五年的思想和讨论的结果，给我们这样一个“新信仰的宇宙观及人生观”。他老先生很谦逊地避去“科学的”的尊号，只叫他做“柴积上，日黄中的老头儿”的新信仰。他这个新信仰正是张君劢先生所谓“机械主义”，正是梁任公先生所谓“纯物质的纯机械的人生观”。他一笔勾销了上帝，抹煞了灵魂，戳穿了“人为万物之灵”的玄秘。这才是真正的挑战。我们要看那些信仰上帝的人们出来替上帝向吴老先生作战。我们要看那些信仰灵魂的人们出来替灵魂向吴老先生作战。我们要看那些信仰人生的神秘的人们出来向这“两手动物演戏”的人生观作战。"
segment_dcdf953b44e9f4d8,Segment,胡适_000_993249d7_s0014,Segment,胡适_000_993249d7,胡适_000_993249d7_s0014,,"仰上帝的人们出来替上帝向吴老先生作战。我们要看那些信仰灵魂的人们出来替灵魂向吴老先生作战。我们要看那些信仰人生的神秘的人们出来向这“两手动物演戏”的人生观作战。我们要看那些认爱情为玄秘的人们出来向这“全是生理作用，并无丝毫微妙”的爱情观作战。这样的讨论，才是切题的、具体的讨论。这才是真正开火。这样战争的结果，不是科学能不能解决人生的问题了，乃是上帝的有无，鬼神的有无，灵魂的有无……等等人生切要问题的解答。

只有这种具体的人生切要问题的讨论才可以发生我们所希望的效果，——才可以促进思想上的刷新。

反对科学的先生们！你们以后的作战，请向吴稚晖的“新信仰的宇宙观及人生观”作战。

拥护科学的先生们！你们以后的作战，请先研究吴稚晖的“新信仰的宇宙观及人生观”：完全赞成他的，请准备替他辩护，像赫胥黎替达尔文辩护一样。不能完全赞成他的，请提出修正案，像后来的生物学者修正达尔文主义一样。

从此以后，科学与人生观的战线上的押阵老将吴老先生要倒转来做先锋了！

### （四）

说到这里，我可以回到张、丁之战的第一个“回合”了。张君劢说：

> “天下古今之最不统一者，莫若人生观。”（《人生观》页一）

丁在君说：

> “人生观现在没有统一是一件事，永久不能统一又是一件事，除非你能提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。”（《玄学与科学》页三）"
segment_ccb8805b99e1167c,Segment,胡适_000_993249d7_s0015,Segment,胡适_000_993249d7,胡适_000_993249d7_s0015,,"> “人生观现在没有统一是一件事，永久不能统一又是一件事，除非你能提出事实理由来证明他是永远不能统一的，我们总有求他统一的义务。”（《玄学与科学》页三）

> “玄学家先存了一个成见，说科学方法不适用于人生观；世界上的玄学家一天没有死完，自然一天人生观不能统一。”（页四）

统一一个词，后来很引起一些人的抗议。例如林宰平先生就控告丁在君，说他“要把科学来统一一切”，说他“想用科学的武器来包办宇宙”。这种控诉，未免过于张大其词了。在君用的“统一”一个词，不过是沿用君劢文章里的话；他们两位的意思大概都不过是大同小异的一致罢了。依我个人想起来，人类的人生观总应该有一个最低限度的一致的可能。唐钺先生说的最好：

> 人生观不过是一个人对于世界万物同人类的态度，这种态度是随着一个人的神经构造、经验、知识等而变的。神经构造等就是人生观之因。我举一二例来看。

> 无因论者以为叔本华、哈德门的人生观是直觉的，其实他们自己并不承认这事。他们都说根据经验阅历而来的。叔本华是引许多经验作证的，哈德门还要说他的哲学是从归纳法得来的。

> 人生观是因知识而变的。例如，柯白尼太阳居中说，同后来的达尔文的人猿同祖说发明以后，世界人类的人生观起绝大变动；这是无可疑的历史事实。若人生观是直觉的、无因的，何以随自然界的知识而变更呢？"
segment_cac51b92115e0f74,Segment,胡适_000_993249d7_s0016,Segment,胡适_000_993249d7,胡适_000_993249d7_s0016,,"，柯白尼太阳居中说，同后来的达尔文的人猿同祖说发明以后，世界人类的人生观起绝大变动；这是无可疑的历史事实。若人生观是直觉的、无因的，何以随自然界的知识而变更呢？我们因为深信人生观是因知识经验而变换的，所以深信宣传与教育的效果可以使人类的人生观得着一个最低限度的一致。

最重要的问题是：拿什么东西来做人生观的“最低限度的”一致呢？

我的答案是：拿今日科学家平心静气地、破除成见地公同承认的“科学的人生观”来做人类人生观的最低限度的一致。

宗教的功效已曾使有神论和灵魂不灭论统一欧洲（其实何止欧洲？）的人生观至千余年之久。假使我们信仰的“科学的人生观”将来靠教育与宣传的功效，也能有“有神论”和“灵魂不灭论”在中世欧洲那样的风行，那样的普遍，那也可算是我所谓“大同小异的一致”了。

我们若要希望人类的人生观逐渐做到大同小异的一致，我们应该准备替这个新人生观作长期的奋斗。我们所谓“奋斗”，并不是像林宰平先生形容的“摩哈默得式”的武力统一；只是用光明磊落的态度，诚恳的言论，宣传我们的“新信仰”，继续不断的宣传，要使今日少数人的信仰逐渐变成将来大多数人的信仰。我们也可以说这是“作战”，因为新信仰总免不了和旧信仰冲突的事；"
segment_852e7269f522bdcb,Segment,胡适_000_993249d7_s0017,Segment,胡适_000_993249d7,胡适_000_993249d7_s0017,,"诚恳的言论，宣传我们的“新信仰”，继续不断的宣传，要使今日少数人的信仰逐渐变成将来大多数人的信仰。我们也可以说这是“作战”，因为新信仰总免不了和旧信仰冲突的事；但我们总希望作战的人都能尊重对方的人格，都能承认那些和我们信仰不同的人不一定都是笨人与坏人，都能在作战之中保持一种“容忍”的态度，我们总希望那些反对我们的新信仰的人，也能用“容忍”的态度来对我们，用研究的态度来考察我们的信仰。我们要认清：我们的真正敌人不是对方；我们的真正敌人是“成见”是“不思想”。我们向旧思想和旧信仰作战，其实只是很诚恳地请求旧思想和旧信仰势力之下的朋友们起来向“成见”和“不思想”作战。凡是肯用思想来考察他的成见的人，都是我们的同盟！

### （五）

总而言之，我们以后的作战计画是宣传我们的新信仰，是宣传我们信仰的新人生观。（我所谓“人生观”，依唐钺先生的界说，包括吴稚晖先生所谓“宇宙观”。）这个新人生观的大旨，吴稚晖先生已宣布过了。我们总括他的大意，加上一点扩充和补充，在这里再提出这个新人生观的轮廓：

（1）根据于天文学和物理学的知识，叫人知道空间无穷之大。

（2）根据于地质学及古生物学的知识，叫人知道时间的无穷之长。

（3）根据于一切科学，叫人知道宇宙及其中万物的运行变迁皆是自然的，——自己如此的，——正用不着什么超自然的主宰或造物者。"
