node_id,labels,name,node_type,article_id,segment_id,title,text
article_0dd9430bac1f8c15,Article,人格与教育,Article,菊农_000_b90d5dfb,,人格与教育,
author_0d017451dd93041b,Author,菊农,Author,,,,
segment_70e01e244952982e,Segment,菊农_000_b90d5dfb_s0000,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,"(一)

中国近来的学问界寂寞的很，许久不曾看见辩论学问的文字。最近丁在君先生和张君劢先生忽然提出人生观与科学的问题来讨论，学问的花园里，渐渐有些春气了。君勋先生的文章上提到教育问题，他对于现代教育表示不满意的态度；这真是实际上极重要的问题，对于人类之未来有极重要的关系，所以我也乘此机会说几句话。至于他们所讨论的中心问题，也有些意见，且等以后再说。

我们立在理想主义的立足点上看，以为现代的悲哀、人生的烦闷、文化的停滞都是由西方文艺复兴的两种精神所酿成。我们常听见研究文艺复兴的历史家说，文艺复兴有两大意义，即新人与新宇宙之发现。主观方面是个人之发现，客观方面是宇宙之发现。换言之，便是个人主义与机械主义。假如我们听了历史家的话承认现代文明是文艺复兴的产物，那么现代的文明便是个人主义和机械主义的文明。

一个人的生活态度便足以规定他的一生；一时代的生活态度亦可以规定他各方面的社会制度和社会活动。个人主义与机械主义是近数百年来文艺复兴以后一般人对于生活的态度，这两种态度便形成了近数百年来的历史。无论在政治方面，经济方面，伦理方面，乃至于教育方面，都表现出这种人生观的根

据来。我们不愿意咒咀文艺复兴；文艺复兴在艺术、文学与哲学，乃至于科学上的成功我们不能亦不愿意否认。但是他所酿成的痛苦与烦闷却亦不容不承认。

吃苦最利害的当然要算经济方面和教育方面了。"
segment_2f64ecf091d913a9,Segment,菊农_000_b90d5dfb_s0001,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0001,,"复兴；文艺复兴在艺术、文学与哲学，乃至于科学上的成功我们不能亦不愿意否认。但是他所酿成的痛苦与烦闷却亦不容不承认。

吃苦最利害的当然要算经济方面和教育方面了。在自由竞争的经济制度上那里能有真幸福与真自由；欧洲的大战和近十余年来猛烈的社会改造运动，以及劳动界的不安宁，都是“不打自招的供状”。教育方面呢，虽然“纸糊老虎”远看似乎看不出丝毫破绽来，但近看已经有无数的破洞了。现在要研究的便是教育问题。

前面已经略略提到各种社会活动，大部分是由时代的人生哲学所形成，教育亦不能外此。所以如果对于现代教育怀疑时，应当从根本上研究明了其所以致此之由，不应当仅仅在表面上批评他的制度乃至于课程，这样的批评，一定是搔痒不着。现代教育是文艺复兴后的产物，有好处呢，固然要谢文艺复兴；但是如果有坏处呢，亦是文艺复兴的责任。假如这句话不错，那么至少可以说，在现代教育的背后牵线的便是文艺复兴的两大精神，进一步说，现在教育是个人主义机械主义的教育；好处或者固然亦有，但是这两种人生态度的坏处，现代的教育却完全承受了。在个人主义机械主义之下，当然发生这样的教育；所以我们可以断言，改良现代的教育决不仅是形式的改革，科目的增删；须要根本上打破个人主义机械主义的人生观，建设新的人生哲学，从这新的人生哲学上出发，教育乃可以言改革。"
segment_324caf5499b868ea,Segment,菊农_000_b90d5dfb_s0002,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0002,,"我们可以断言，改良现代的教育决不仅是形式的改革，科目的增删；须要根本上打破个人主义机械主义的人生观，建设新的人生哲学，从这新的人生哲学上出发，教育乃可以言改革。其实教育不过是社会活动的一方面，我们改造社会的要求，也只是要求新的人生哲学，也只是打倒机械主义。

## (二)

前段说的话太概括了，此后便要集中在教育上讨论。第一个问题便是我们为什么要有教育？教育是否可能?

对于我们为什么要教育的问题，答复得最直截简当的要算杜威博士了。他说教育所以不可少的缘故，就是因为生与死两件事。人类当生下的时候，不能独立，必须倚赖他人，所以有赖于教育，死去的时候，非有教育将一切知识和经验传之子孙不可。这样的答案老实说实在不能使我们满意。他这段话里有两层应当注意，一则要小孩靠教育学成人，一则人死后靠教育将知识和经验遗传给子孙。如此说来，教育事业不过是“邮便事业”，这一代传到后一代，传之无穷而已。这样的教育，无非是保存一切知识经验习惯的方法，对于我们的教育理想，实在大大不同了。他们的教育，目的在保存过去，我们的目的在创造将来。但教育原是为将来，不是为过去的。教育不仅是经验界以内事，更有其精神的意义在。

谈到教育便决不能没有一种理想，希望用教育的方法，使未来的受教育的人能与这种理想适合。便是一般主张教育的目的是造成公民的教育家，也有他们的理想；他们的理想，便是要个个人都养成他心目中的公民。"
segment_24801eba24814010,Segment,菊农_000_b90d5dfb_s0003,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0003,,"，希望用教育的方法，使未来的受教育的人能与这种理想适合。便是一般主张教育的目的是造成公民的教育家，也有他们的理想；他们的理想，便是要个个人都养成他心目中的公民。所以我们可以说因为要使理想实现，所以要教育。现代的教育便是硬将个人和社会分开，定一些标准说社会要合乎这些标准的个人，否则社会不敢欢迎，而这些标准，却并不能算做标准。

我们不妨老实的说，我们以为人生的理想便是教育的理想，理想的教育实现，便是理想的人生实现。人生的各方面便

是教育的方面，决不能离开人生谈教育。但是我们所谓人生不仅是那物质方面的生活，物质生活之上更有精神生活；不仅是外生活，更有内生活。

既然说到教育，必定是两个前提之下才谈得到。用极普通的话说，教育是求进步，但在“进步”这两个字之下，至少是从此一地位换到彼一地位，其中的意义便是“变”，如果宇宙的行历不是变，个人不能变，便根本上谈不到教育。幸而宇宙不是如此。我们以为宇宙自身便是在变化中，即变即本体，即此便是宇宙行历的意义；宇宙的行历，便是生活的创新，个人亦无日不在变中。所以变完全是可能的。但是假如宇宙虽是变化无已，而个人却完全受外围支配，则又何如？因为如果这样教育依然是不可能的。最要紧的是我们认定人们有自由意志，自由意志便是中心的创造力。换言之，我们承认内心心力可以使个人向上；如果内心对于人生之理想有了解和领会，内心之努力，便可以使理想实现。"
segment_b78bf8fe5200fbb9,Segment,菊农_000_b90d5dfb_s0004,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0004,,"的是我们认定人们有自由意志，自由意志便是中心的创造力。换言之，我们承认内心心力可以使个人向上；如果内心对于人生之理想有了解和领会，内心之努力，便可以使理想实现。物质可以支配一切，只是对于活泼泼的心力，却丝毫不能限制。物质可以于某种限度制限我们的身体，却万不能侵犯着人格的活动；人格是绝对的有自由的。在这种前提之下，谁又能说教育不可能?

或者有人说，这些话全是空话；实际上教育事业并用不着这一套话。此话我亦承认；但是我的答复很简单，我只有说他们所谓教育不是我所谓教育。假如教育完全是求所以适应外物，只求样子外表，或者只求做公民，当然用不着这些空话了。

## (三)

人生的理想便是教育的理想。教育一定要有理想，否则便

无意义。我们既断言教育不仅是使人凑合外物，不仅是机械的服从，而是内心的自发。那么我们的出发点便根本不是机械主义的人生哲学了。出发点既与现代教育的源泉相异，结果自必不同。

教育是做帮助人生的理想具体化的工夫的；我们认为人生的理想便是人格的实现；宇宙中即使一切都可以否认，独有人格不能否认。宇宙行历的意义便是超于个体的大人格的完成。超人格无时不在创造之中，即人格无日不在创造之中。人生的目的便是完成他自己的人格以贡献于大的全体；换言之，便是实现小己的人格以求超人格的实现。

在这种立足点上（我们认为真理是如此的),觉得现代的教育竟是与我们的理想背道而驰。什么是教育的目的？"
segment_92046e5816add701,Segment,菊农_000_b90d5dfb_s0005,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0005,,"献于大的全体；换言之，便是实现小己的人格以求超人格的实现。

在这种立足点上（我们认为真理是如此的),觉得现代的教育竟是与我们的理想背道而驰。什么是教育的目的？不是教人做好公民，亦不是教人做环境的奴隶，乃是教人做“人”。若要我们为教育下一定义时，我们便说教育的目的是求人格的实现，求人格的完成。申言之，要使人了解人生的意义，做人便好好做一个完全的自由的“人”。人要怎样的做？人格如何而能实现？便是教育的中心问题。

所以教育的任务有两方面，一方面求身与心的调和的发展，无使为外物所制。外物是精神自由的阻碍，是足以妨碍人向上的。一切对于外界的研究（自然科学物理学的研究),只是在知识上对于外物有一种了解。然而我们非了解外界事物的真相，对于外界事物有认识，便免不了受物界的束缚。所以各种科学的知识，都是教人不要做物界的奴隶。但是知识的能力很有限，人们用理知得来的知识只是相对的知识。得了这种知识固然可以解决实际上的各项问题，对付实际上随处发生的事情；但是人仍不能完全免乎他的桎梏。因为仅是知识虽然可以超脱一些物的束缚，却不能完全超脱。所以仅仅有实际教育，还是不够的。教育的任务除此以外，最要紧的是人格的自

觉。这是教育的任务的第二方面。

人不是为应付环境而生的，人不是生来解决实际问题的，人有人生的理想，所以实际教育虽不可没有，却仅仅是一小部分。在我们求人格实现的教育目的下，是决计不够的。"
segment_93f2c3c9a2d64eb2,Segment,菊农_000_b90d5dfb_s0006,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0006,,"面。

人不是为应付环境而生的，人不是生来解决实际问题的，人有人生的理想，所以实际教育虽不可没有，却仅仅是一小部分。在我们求人格实现的教育目的下，是决计不够的。我们所要求的是内心自由。然而取得内心自由的最要紧的事情，当然是自觉。自觉便是人格的实现的第一步。人格之实现非从自觉的努力出发不可。原来“人”与“物”不同之点，正因为“物”是他动的，“人”是自动的。“物”是受支配的，“人”是自由意志的。人是靠自觉的努力活动的，他的活动，他的行为是自主的。燃着自由意志的火把，即在此自觉的努力之途中实现其人格，不愁不功果圆满!

总之，我们认为教育的目的是人格的实现。所以教育的任务一方面要排除外物的障碍，一方面要磨练人格的自觉。

## (四)

教育上最重要的问题，据许多教育家说，是如何调和社会与个人的问题。孟禄氏说个人与社会的问题是人类生活中最初就有的问题，这句话从现代教育的立足点上看，实在是不错的，无论偏重个人或偏重社会都必定发生不良的影响。

但是据我们看来，只要换一换观点，这问题便落空。何以一定要将个人与社会对待呢？个人与社会，本来不是可以对待的。硬要将整个的分裂起来，自然要起冲突了。个人与社会原来是不能分开说的，因为原是不能分开的，原是整个的。社会和个人是一全体的两方面。在我们经验所及的范围里，谁又见过纯粹独立的个人？谁又见过脱离个人的社会？个人与社会"
segment_fb689a4942536514,Segment,菊农_000_b90d5dfb_s0007,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0007,,"不能分开说的，因为原是不能分开的，原是整个的。社会和个人是一全体的两方面。在我们经验所及的范围里，谁又见过纯粹独立的个人？谁又见过脱离个人的社会？个人与社会

都是一件事实的变形，这件事便是人生。人类生活之集合方面便是社会，特指方面便是个人。社会和个人并不是不同的现象，不过因人们观点的不同，便当做两件东西一般。实在是一件有生机、有目的、有自由、无时不创造的全体的表现。我们从人生全体看来，那里还有分别。如果自己要造出一堵墙来，要隔开两方面，注重所谓社会一方面便构成了社会压迫个性的状态；注重个人一方面便又构成自大的个人主义。无论是那一方面上占上风，人类生活的全体，却受了莫大的痛苦。教育的结果，便是畸形的发展。

我们这些话并不是什么特别的话；因为我们根本认定生活是一全体。社会是个人的全体，个人是全体的部分。部分的活动的全体，便是全体的创造。便是对于宇宙与个人的问题，也是这样的解答。

在机械的宇宙观之下，几乎认宇宙为敌，努力以求克制之道，科学之发达，这也是一个原因；但是为人之道却太苦；人生无时无刻不在防御自然压迫之中；个人无时无刻不在与自然为敌，因此而狭义的个人主义极发达。但是我们以为个人与宇宙在超越世界里并主客之分而亦无之；只是一大调和。自然界一切事物，对于我都有精神的意义。个人不是要克制自然乃是要与自然和洽。小己人格充分实现时，便与宇宙融合无间了。这正是我们的理想。"
